n0071
Sat Sep 19 04:17:53 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= AntCost k_epochs 5
env=AntCost
state_dim=113
action_dim=8
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:505.8127997901004 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 505.8127997901004 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=-67.8052, vl_pi= 0.6560909 beta_penalty= 16682.727 lambda_mean= [0.69529486] VC_mean= [0.5688273] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.8364, vl_pi= 0.65793467 beta_penalty= 16738.04 lambda_mean= [0.69529486] VC_mean= [0.57268506] d= [0.1]
FAC | warm_start_active=False, vs_mean=-71.1461, vl_pi= 0.65244585 beta_penalty= 16573.375 lambda_mean= [0.69538444] VC_mean= [0.56104064] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.9601, vl_pi= 0.6545939 beta_penalty= 16637.816 lambda_mean= [0.69538444] VC_mean= [0.5617366] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.2416, vl_pi= 0.6408165 beta_penalty= 16224.494 lambda_mean= [0.69538444] VC_mean= [0.55338836] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.4710, vl_pi= 0.6296338 beta_penalty= 15889.013 lambda_mean= [0.69538444] VC_mean= [0.5498642] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.4786, vl_pi= 0.6213883 beta_penalty= 15641.648 lambda_mean= [0.69538444] VC_mean= [0.54654074] d= [0.1]
FAC | warm_start_active=False, vs_mean=-56.6381, vl_pi= 0.6305269 beta_penalty= 15915.807 lambda_mean= [0.695164] VC_mean= [0.55205137] d= [0.1]
FAC | warm_start_active=False, vs_mean=-57.3984, vl_pi= 0.61755955 beta_penalty= 15526.786 lambda_mean= [0.695164] VC_mean= [0.54742473] d= [0.1]
FAC | warm_start_active=False, vs_mean=-59.3484, vl_pi= 0.61109996 beta_penalty= 15332.998 lambda_mean= [0.695164] VC_mean= [0.54565644] d= [0.1]
FAC | warm_start_active=False, vs_mean=-60.0031, vl_pi= 0.6197726 beta_penalty= 15593.178 lambda_mean= [0.695164] VC_mean= [0.550394] d= [0.1]
FAC | warm_start_active=False, vs_mean=-60.8009, vl_pi= 0.60839653 beta_penalty= 15251.8955 lambda_mean= [0.695164] VC_mean= [0.54727125] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.6203, vl_pi= 0.61352026 beta_penalty= 15405.607 lambda_mean= [0.69531995] VC_mean= [0.5450498] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.0633, vl_pi= 0.60483843 beta_penalty= 15145.152 lambda_mean= [0.69531995] VC_mean= [0.5442338] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.9634, vl_pi= 0.5975844 beta_penalty= 14927.533 lambda_mean= [0.69531995] VC_mean= [0.542284] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.9132, vl_pi= 0.59987044 beta_penalty= 14996.113 lambda_mean= [0.69531995] VC_mean= [0.5426817] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.3063, vl_pi= 0.5993527 beta_penalty= 14980.582 lambda_mean= [0.69531995] VC_mean= [0.5429185] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.7994, vl_pi= 0.58920443 beta_penalty= 14676.133 lambda_mean= [0.69540024] VC_mean= [0.54250085] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.8014, vl_pi= 0.5788294 beta_penalty= 14364.883 lambda_mean= [0.69540024] VC_mean= [0.54012084] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.1714, vl_pi= 0.57526743 beta_penalty= 14258.023 lambda_mean= [0.69540024] VC_mean= [0.5392699] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.9667, vl_pi= 0.5742671 beta_penalty= 14228.013 lambda_mean= [0.69540024] VC_mean= [0.538072] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.8156, vl_pi= 0.575166 beta_penalty= 14254.9795 lambda_mean= [0.69540024] VC_mean= [0.5388599] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.1758, vl_pi= 0.5806612 beta_penalty= 14419.836 lambda_mean= [0.6953205] VC_mean= [0.5350678] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.9535, vl_pi= 0.5842112 beta_penalty= 14526.335 lambda_mean= [0.6953205] VC_mean= [0.53726584] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.3610, vl_pi= 0.58195233 beta_penalty= 14458.57 lambda_mean= [0.6953205] VC_mean= [0.5364142] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.0991, vl_pi= 0.5816773 beta_penalty= 14450.319 lambda_mean= [0.6953205] VC_mean= [0.5371597] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.4905, vl_pi= 0.5835871 beta_penalty= 14507.613 lambda_mean= [0.6953205] VC_mean= [0.5375788] d= [0.1]
FAC | warm_start_active=False, vs_mean=-74.0016, vl_pi= 0.589365 beta_penalty= 14680.95 lambda_mean= [0.69555336] VC_mean= [0.5446353] d= [0.1]
FAC | warm_start_active=False, vs_mean=-72.1476, vl_pi= 0.57866347 beta_penalty= 14359.904 lambda_mean= [0.69555336] VC_mean= [0.540578] d= [0.1]
FAC | warm_start_active=False, vs_mean=-71.2850, vl_pi= 0.5757397 beta_penalty= 14272.19 lambda_mean= [0.69555336] VC_mean= [0.53827184] d= [0.1]
FAC | warm_start_active=False, vs_mean=-70.0900, vl_pi= 0.5786709 beta_penalty= 14360.128 lambda_mean= [0.69555336] VC_mean= [0.54241854] d= [0.1]
FAC | warm_start_active=False, vs_mean=-69.8219, vl_pi= 0.5770984 beta_penalty= 14312.953 lambda_mean= [0.69555336] VC_mean= [0.5437109] d= [0.1]
FAC | warm_start_active=False, vs_mean=-59.7554, vl_pi= 0.5890695 beta_penalty= 14672.085 lambda_mean= [0.69575214] VC_mean= [0.5401865] d= [0.1]
FAC | warm_start_active=False, vs_mean=-60.4427, vl_pi= 0.58468515 beta_penalty= 14540.555 lambda_mean= [0.69575214] VC_mean= [0.53895956] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.3587, vl_pi= 0.5814488 beta_penalty= 14443.464 lambda_mean= [0.69575214] VC_mean= [0.5381366] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.2047, vl_pi= 0.5828907 beta_penalty= 14486.721 lambda_mean= [0.69575214] VC_mean= [0.54132485] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.8648, vl_pi= 0.5809641 beta_penalty= 14428.923 lambda_mean= [0.69575214] VC_mean= [0.5406131] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.5861, vl_pi= 0.6506743 beta_penalty= 16520.229 lambda_mean= [0.6954343] VC_mean= [0.5517822] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.6028, vl_pi= 0.61903495 beta_penalty= 15571.048 lambda_mean= [0.6954343] VC_mean= [0.54793906] d= [0.1]
FAC | warm_start_active=False, vs_mean=-67.6949, vl_pi= 0.6058867 beta_penalty= 15176.601 lambda_mean= [0.6954343] VC_mean= [0.5470325] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.5625, vl_pi= 0.6098973 beta_penalty= 15296.919 lambda_mean= [0.6954343] VC_mean= [0.54897213] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.2162, vl_pi= 0.60073423 beta_penalty= 15022.026 lambda_mean= [0.6954343] VC_mean= [0.54754555] d= [0.1]
FAC | warm_start_active=False, vs_mean=-77.1268, vl_pi= 0.5833164 beta_penalty= 14499.492 lambda_mean= [0.69532275] VC_mean= [0.5391014] d= [0.1]
FAC | warm_start_active=False, vs_mean=-75.0094, vl_pi= 0.5827911 beta_penalty= 14483.732 lambda_mean= [0.69532275] VC_mean= [0.538131] d= [0.1]
FAC | warm_start_active=False, vs_mean=-73.9904, vl_pi= 0.56994545 beta_penalty= 14098.364 lambda_mean= [0.69532275] VC_mean= [0.5391241] d= [0.1]
FAC | warm_start_active=False, vs_mean=-72.8814, vl_pi= 0.56463027 beta_penalty= 13938.908 lambda_mean= [0.69532275] VC_mean= [0.5373211] d= [0.1]
FAC | warm_start_active=False, vs_mean=-71.3660, vl_pi= 0.56425774 beta_penalty= 13927.732 lambda_mean= [0.69532275] VC_mean= [0.538885] d= [0.1]
FAC | warm_start_active=False, vs_mean=-70.8632, vl_pi= 0.5733651 beta_penalty= 14200.953 lambda_mean= [0.6952502] VC_mean= [0.54015595] d= [0.1]
FAC | warm_start_active=False, vs_mean=-69.7945, vl_pi= 0.56727874 beta_penalty= 14018.362 lambda_mean= [0.6952502] VC_mean= [0.53881866] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.9027, vl_pi= 0.5610918 beta_penalty= 13832.754 lambda_mean= [0.6952502] VC_mean= [0.53748965] d= [0.1]
