2026-03-09 13:55:52,972 - INFO - Ep 40 | Reward: 5.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.247 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:52,996 - INFO - Ep 41 | Reward: 6.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.256 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 13:55:53,021 - INFO - Ep 42 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.265 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:53,048 - INFO - Ep 43 | Reward: 8.0 | Cost: 0.28 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.274 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 13:55:53,058 - INFO - Ep 44 | Reward: 4.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.283 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 13:55:53,080 - INFO - Ep 45 | Reward: 6.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.292 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 13:55:53,103 - INFO - Ep 46 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 13:55:53,150 - INFO - Ep 47 | Reward: 14.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.310 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 13:55:53,162 - INFO - Ep 48 | Reward: 5.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.319 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:53,198 - INFO - Ep 49 | Reward: 7.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.328 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 13:55:53,230 - INFO - Ep 50 | Reward: 12.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.337 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 13:55:54,245 - INFO - Ep 51 | Reward: 5.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.346 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 13:55:54,267 - INFO - Ep 52 | Reward: 8.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.354 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 13:55:54,299 - INFO - Ep 53 | Reward: 9.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.363 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 13:55:54,323 - INFO - Ep 54 | Reward: 5.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.372 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:54,349 - INFO - Ep 55 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 13:55:54,373 - INFO - Ep 56 | Reward: 5.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.390 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:54,396 - INFO - Ep 57 | Reward: 5.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.399 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:54,422 - INFO - Ep 58 | Reward: 7.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.408 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 13:55:54,450 - INFO - Ep 59 | Reward: 9.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.417 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 13:55:54,474 - INFO - Ep 60 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Optimized: Reward
