n0006
Thu Sep  3 07:12:13 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 4 seed= 1 env= HumanoidCMDP k_epochs 5
env=HumanoidCMDP
state_dim=377
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.119339913683 	 evaluate_cost:6.871486402815208e-05 	 evaluate_max_cost:2.6178870029980317e-05
New best model found! Saving model with reward: 4985.119339913683 and max cost: 2.6178870029980317e-05
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.0842742919922 1.0 243.0842742919922
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.09347534179688 1.0 243.09347534179688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.42425537109375 1.0 243.42425537109375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 245.0328826904297 1.0 244.0328826904297
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.98828125 1.0 246.98828125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.35806274414062 1.0 246.35806274414062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.60968017578125 1.0 250.60968017578125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.39126586914062 1.0 248.39126586914062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.27117919921875 1.0 246.27117919921875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 245.28256225585938 1.0 244.28256225585938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.59654235839844 1.0 243.59654235839844
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 245.2898406982422 1.0 244.2898406982422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.46302795410156 1.0 243.46302795410156
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.34909057617188 1.0 242.34909057617188
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.77000427246094 1.0 242.77000427246094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.02001953125 1.0 242.02001953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.61965942382812 1.0 248.61965942382812
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.1018524169922 1.0 245.1018524169922
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.43983459472656 1.0 243.43983459472656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.9387969970703 1.0 242.9387969970703
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.84317016601562 1.0 242.84317016601562
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.0976104736328 1.0 245.0976104736328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.5261688232422 1.0 245.5261688232422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.2984161376953 1.0 246.2984161376953
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.19984436035156 1.0 246.19984436035156
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.71475219726562 1.0 245.71475219726562
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.71876525878906 1.0 245.71876525878906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.1521453857422 1.0 245.1521453857422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.51715087890625 1.0 243.51715087890625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.13038635253906 1.0 243.13038635253906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 242.13339233398438 1.0 241.13339233398438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.44451904296875 1.0 250.44451904296875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.572509765625 1.0 248.572509765625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 250.8750762939453 1.0 249.8750762939453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.4499053955078 1.0 250.4499053955078
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 250.96043395996094 1.0 249.96043395996094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 257.4522705078125 1.0 256.4522705078125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 255.6278076171875 1.0 254.6278076171875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 253.30503845214844 1.0 252.30503845214844
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.8637237548828 1.0 250.8637237548828
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 252.04872131347656 1.0 251.04872131347656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.6803741455078 1.0 236.6803741455078
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 242.3883514404297 1.0 241.3883514404297
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 245.9210968017578 1.0 244.9210968017578
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.73599243164062 1.0 246.73599243164062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.4602508544922 1.0 247.4602508544922
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.7315216064453 1.0 245.7315216064453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.53207397460938 1.0 243.53207397460938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 241.61669921875 1.0 240.61669921875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.06674194335938 1.0 239.06674194335938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.4242401123047 1.0 238.4242401123047
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.8882598876953 1.0 247.8882598876953
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.65049743652344 1.0 248.65049743652344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.0644073486328 1.0 248.0644073486328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.66510009765625 1.0 248.66510009765625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.65916442871094 1.0 250.65916442871094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 253.6806640625 1.0 252.6806640625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.34349060058594 1.0 248.34349060058594
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.130126953125 1.0 246.130126953125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.72938537597656 1.0 243.72938537597656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.51963806152344 1.0 243.51963806152344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.3798065185547 1.0 243.3798065185547
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 241.97254943847656 1.0 240.97254943847656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.111083984375 1.0 239.111083984375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.62445068359375 1.0 237.62445068359375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.6763153076172 1.0 235.6763153076172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.6162109375 1.0 250.6162109375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 250.76718139648438 1.0 249.76718139648438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.59561157226562 1.0 248.59561157226562
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.10702514648438 1.0 247.10702514648438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.08956909179688 1.0 245.08956909179688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 242.53944396972656 1.0 241.53944396972656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.63330078125 1.0 243.63330078125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.7754669189453 1.0 248.7754669189453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 250.92735290527344 1.0 249.92735290527344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.75689697265625 1.0 250.75689697265625
