n0050
Sun Sep 20 10:28:19 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 101 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
ch, vs_mean, vl_pi, beta penalty= 0 0.3530772924423218 0.9322636127471924 21967.908203125
ch, vs_mean, vl_pi, beta penalty= 0 0.35597237944602966 0.930821418762207 21924.642578125
ch, vs_mean, vl_pi, beta penalty= 0 0.3638000786304474 0.9415507316589355 22246.521484375
ch, vs_mean, vl_pi, beta penalty= 0 0.3728924095630646 0.9575753211975098 22727.259765625
ch, vs_mean, vl_pi, beta penalty= 0 0.41568470001220703 0.8920685052871704 20762.0546875
ch, vs_mean, vl_pi, beta penalty= 0 0.42510485649108887 0.887546956539154 20626.408203125
ch, vs_mean, vl_pi, beta penalty= 0 0.4291170835494995 0.8808489441871643 20425.46875
ch, vs_mean, vl_pi, beta penalty= 0 0.43088144063949585 0.8813170194625854 20439.51171875
ch, vs_mean, vl_pi, beta penalty= 0 0.4288930296897888 0.885665774345398 20569.97265625
ch, vs_mean, vl_pi, beta penalty= 0 0.4160824716091156 0.9184691309928894 21554.07421875
ch, vs_mean, vl_pi, beta penalty= 0 0.44891422986984253 0.9197896718978882 21593.69140625
ch, vs_mean, vl_pi, beta penalty= 0 0.47029489278793335 0.9241183400154114 21723.55078125
ch, vs_mean, vl_pi, beta penalty= 0 0.4586142599582672 0.9334977865219116 22004.93359375
ch, vs_mean, vl_pi, beta penalty= 0 0.4715483784675598 0.9407936930656433 22223.810546875
