n0013
Wed Sep 23 08:19:09 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 110 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9819198846817017 0.2 0.7819198966026306
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9630404114723206 0.2 0.7630404233932495
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9473233819007874 0.2 0.7473233938217163
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9522960186004639 0.2 0.7522960305213928
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9650546908378601 0.2 0.7650547027587891
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9723103046417236 0.2 0.7723103165626526
evaluate_num:2 	 evaluate_reward:0.7446414068403175 	 evaluate_cost:8.572131980911154 	 evaluate_max_cost:0.9893612429396991
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.010905146598816 0.2 0.8109051585197449
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0171834230422974 0.2 0.8171834349632263
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0098084211349487 0.2 0.8098084330558777
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.000083565711975 0.2 0.800083577632904
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9934114813804626 0.2 0.7934114933013916
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9918918013572693 0.2 0.7918918132781982
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.009718894958496 0.2 0.809718906879425
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.016337513923645 0.2 0.816337525844574
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0342869758605957 0.2 0.8342869877815247
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0344130992889404 0.2 0.8344131112098694
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.055505633354187 0.2 0.855505645275116
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0490624904632568 0.2 0.8490625023841858
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0288748741149902 0.2 0.8288748860359192
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0151402950286865 0.2 0.8151403069496155
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0071440935134888 0.2 0.8071441054344177
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0983070135116577 0.2 0.8983070254325867
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0757030248641968 0.2 0.8757030367851257
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0436012744903564 0.2 0.8436012864112854
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0626463890075684 0.2 0.8626464009284973
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0557770729064941 0.2 0.8557770848274231
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9734518527984619 0.2 0.7734518647193909
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9830380082130432 0.2 0.7830380201339722
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9951987266540527 0.2 0.7951987385749817
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9782230854034424 0.2 0.7782230973243713
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9749736785888672 0.2 0.7749736905097961
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0030713081359863 0.2 0.8030713200569153
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9998663663864136 0.2 0.7998663783073425
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9923065304756165 0.2 0.7923065423965454
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9849003553390503 0.2 0.7849003672599792
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9836843013763428 0.2 0.7836843132972717
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9679846167564392 0.2 0.7679846286773682
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9776360988616943 0.2 0.7776361107826233
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9661348462104797 0.2 0.7661348581314087
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9730191826820374 0.2 0.7730191946029663
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9672578573226929 0.2 0.7672578692436218
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9752655029296875 0.2 0.7752655148506165
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9613550305366516 0.2 0.7613550424575806
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9575364589691162 0.2 0.7575364708900452
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9584921598434448 0.2 0.7584921717643738
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9666829109191895 0.2 0.7666829228401184
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9911863803863525 0.2 0.7911863923072815
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9868324398994446 0.2 0.7868324518203735
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9830112457275391 0.2 0.783011257648468
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9790624976158142 0.2 0.7790625095367432
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.983605146408081 0.2 0.78360515832901
evaluate_num:3 	 evaluate_reward:0.9477130405235683 	 evaluate_cost:9.705480068028214 	 evaluate_max_cost:0.9969238287794826
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0051021575927734 0.2 0.8051021695137024
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.982049286365509 0.2 0.782049298286438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9886628985404968 0.2 0.7886629104614258
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9958261251449585 0.2 0.7958261370658875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9858458638191223 0.2 0.7858458757400513
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9664754867553711 0.2 0.7664754986763
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9613580107688904 0.2 0.7613580226898193
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9636889100074768 0.2 0.7636889219284058
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9637745022773743 0.2 0.7637745141983032
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9552110433578491 0.2 0.7552110552787781
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9566595554351807 0.2 0.7566595673561096
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9656106233596802 0.2 0.7656106352806091
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.976456880569458 0.2 0.776456892490387
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.999775230884552 0.2 0.799775242805481
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.010901689529419 0.2 0.8109017014503479
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0192573070526123 0.2 0.8192573189735413
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0152794122695923 0.2 0.8152794241905212
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0135786533355713 0.2 0.8135786652565002
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0130928754806519 0.2 0.8130928874015808
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0131179094314575 0.2 0.8131179213523865
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0054385662078857 0.2 0.8054385781288147
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0223702192306519 0.2 0.8223702311515808
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0389238595962524 0.2 0.8389238715171814
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0584948062896729 0.2 0.8584948182106018
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0560468435287476 0.2 0.8560468554496765
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0129997730255127 0.2 0.8129997849464417
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.005778431892395 0.2 0.805778443813324
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.998923122882843 0.2 0.798923134803772
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9952714443206787 0.2 0.7952714562416077
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9916337132453918 0.2 0.7916337251663208
evaluate_num:4 	 evaluate_reward:0.2104315159038235 	 evaluate_cost:7.086425773417678 	 evaluate_max_cost:0.9910641277322824
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9722747802734375 0.2 0.7722747921943665
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9787124395370483 0.2 0.7787124514579773
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9684301614761353 0.2 0.7684301733970642
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9676976203918457 0.2 0.7676976323127747
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9667169451713562 0.2 0.7667169570922852
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.008359432220459 0.2 0.8083594441413879
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0032992362976074 0.2 0.8032992482185364
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9895920753479004 0.2 0.7895920872688293
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9788264036178589 0.2 0.7788264155387878
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9580998420715332 0.2 0.7580998539924622
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9706791043281555 0.2 0.7706791162490845
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9676467776298523 0.2 0.7676467895507812
