n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstacleCMDP k_epochs 5
env=HumanoidForwardObstacleCMDP
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 479.3230895996094 tensor(1.2978) tensor(239339.1250)
ch, vs_mean, vl_pi, beta penalty= 0 480.81689453125 tensor(1.1982) tensor(209461.4688)
ch, vs_mean, vl_pi, beta penalty= 0 479.7437438964844 tensor(1.1791) tensor(203731.1562)
ch, vs_mean, vl_pi, beta penalty= 0 480.27471923828125 tensor(1.1493) tensor(194785.7031)
ch, vs_mean, vl_pi, beta penalty= 0 482.017822265625 tensor(1.1393) tensor(191780.8438)
ch, vs_mean, vl_pi, beta penalty= 0 475.24053955078125 tensor(1.3091) tensor(242719.4219)
ch, vs_mean, vl_pi, beta penalty= 0 474.003173828125 tensor(1.2675) tensor(230244.9062)
ch, vs_mean, vl_pi, beta penalty= 0 474.30035400390625 tensor(1.2053) tensor(211596.5000)
ch, vs_mean, vl_pi, beta penalty= 0 475.57110595703125 tensor(1.1857) tensor(205704.7969)
ch, vs_mean, vl_pi, beta penalty= 0 475.75750732421875 tensor(1.0778) tensor(173342.7344)
ch, vs_mean, vl_pi, beta penalty= 0 483.4083251953125 tensor(1.0756) tensor(172693.4219)
ch, vs_mean, vl_pi, beta penalty= 0 481.55291748046875 tensor(1.0630) tensor(168897.4531)
ch, vs_mean, vl_pi, beta penalty= 0 481.7088928222656 tensor(1.0250) tensor(157498.2031)
ch, vs_mean, vl_pi, beta penalty= 0 482.0638122558594 tensor(1.0232) tensor(156960.6250)
ch, vs_mean, vl_pi, beta penalty= 0 482.04412841796875 tensor(0.9997) tensor(149898.8750)
ch, vs_mean, vl_pi, beta penalty= 0 482.61614990234375 tensor(1.0800) tensor(173997.6094)
