n0093
Tue Mar 31 10:06:01 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 17 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:52.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
ch, vs_mean, vl_pi, beta penalty= 1 82.95245361328125 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.0764389038086 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.1620101928711 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.17420196533203 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.02182006835938 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.23928833007812 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.19542694091797 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.97664642333984 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.20684051513672 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.1494140625 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.25347900390625 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.23738861083984 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.23540496826172 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.22502899169922 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.92185974121094 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.16511535644531 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.93318176269531 10.0 200.0
evaluate_num:8 	 evaluate_reward:361.3333333333333 	 evaluate_cost:3.3333333333333335 	 evaluate_max_cost:10.0
ch, vs_mean, vl_pi, beta penalty= 1 83.12825775146484 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 81.69481658935547 11.038446426391602 225.96116065979004
ch, vs_mean, vl_pi, beta penalty= 1 83.1801986694336 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.18023681640625 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.13082122802734 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.07723999023438 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.22341918945312 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.41419219970703 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.15423583984375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.01587677001953 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.26148986816406 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.24468994140625 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.88152313232422 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.8084487915039 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.66539001464844 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.9627456665039 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.1969985961914 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.28402709960938 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.13101196289062 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.08711242675781 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.92359161376953 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.25851440429688 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.94072723388672 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.27801513671875 10.0 200.0
evaluate_num:9 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
ch, vs_mean, vl_pi, beta penalty= 1 82.95919036865234 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.14202117919922 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.35039520263672 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.86883544921875 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.81464385986328 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.01626586914062 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.08441925048828 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.83314514160156 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.02129364013672 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.37226104736328 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.01380920410156 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.27478790283203 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.04203033447266 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.25970458984375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.2347412109375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.2630615234375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.19942474365234 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.2292709350586 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.0940933227539 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.24494171142578 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.19085693359375 11.150849342346191 228.77123355865479
ch, vs_mean, vl_pi, beta penalty= 1 83.0173568725586 11.075556755065918 226.88891887664795
ch, vs_mean, vl_pi, beta penalty= 1 82.8925552368164 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.97164916992188 11.317112922668457 232.92782306671143
evaluate_num:10 	 evaluate_reward:500.0 	 evaluate_cost:72.40731641433774 	 evaluate_max_cost:1.1540976469116007
ch, vs_mean, vl_pi, beta penalty= 1 82.92558288574219 11.401769638061523 235.0442409515381
ch, vs_mean, vl_pi, beta penalty= 1 82.24732971191406 11.885309219360352 247.1327304840088
ch, vs_mean, vl_pi, beta penalty= 1 82.68202209472656 11.711407661437988 242.7851915359497
ch, vs_mean, vl_pi, beta penalty= 1 82.95365905761719 11.609600067138672 240.2400016784668
ch, vs_mean, vl_pi, beta penalty= 1 82.78744506835938 11.902944564819336 247.5736141204834
ch, vs_mean, vl_pi, beta penalty= 1 76.19340515136719 14.555896759033203 313.8974189758301
