n0071
Sat Sep 19 04:26:14 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 6 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:0.03503666581309517 	 evaluate_max_cost:0.0001025578094413504
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.0001025578094413504
FAC | warm_start_active=False, vs_mean=471.8658, vl_pi= 3.100724 beta_penalty= 630217.2 lambda_mean= [0.71114314] VC_mean= [2.4699335] d= [1.]
FAC | warm_start_active=False, vs_mean=468.2152, vl_pi= 2.970279 beta_penalty= 591083.7 lambda_mean= [0.71114314] VC_mean= [2.4160986] d= [1.]
FAC | warm_start_active=False, vs_mean=468.9726, vl_pi= 2.894605 beta_penalty= 568381.5 lambda_mean= [0.71114314] VC_mean= [2.4420834] d= [1.]
FAC | warm_start_active=False, vs_mean=472.5333, vl_pi= 2.9367535 beta_penalty= 581026.06 lambda_mean= [0.71114314] VC_mean= [2.3886151] d= [1.]
FAC | warm_start_active=False, vs_mean=480.0557, vl_pi= 3.1327293 beta_penalty= 639818.8 lambda_mean= [0.7109976] VC_mean= [2.4734046] d= [1.]
FAC | warm_start_active=False, vs_mean=478.6018, vl_pi= 3.086066 beta_penalty= 625819.8 lambda_mean= [0.7109976] VC_mean= [2.4159052] d= [1.]
FAC | warm_start_active=False, vs_mean=481.3463, vl_pi= 2.9185562 beta_penalty= 575566.9 lambda_mean= [0.7109976] VC_mean= [2.4648776] d= [1.]
FAC | warm_start_active=False, vs_mean=479.9724, vl_pi= 2.8731613 beta_penalty= 561948.4 lambda_mean= [0.7109976] VC_mean= [2.4909837] d= [1.]
FAC | warm_start_active=False, vs_mean=480.5613, vl_pi= 2.9021256 beta_penalty= 570637.7 lambda_mean= [0.7109976] VC_mean= [2.4922993] d= [1.]
FAC | warm_start_active=False, vs_mean=478.4826, vl_pi= 3.1169152 beta_penalty= 635074.56 lambda_mean= [0.71073276] VC_mean= [2.4771492] d= [1.]
FAC | warm_start_active=False, vs_mean=478.3441, vl_pi= 3.0188408 beta_penalty= 605652.25 lambda_mean= [0.71073276] VC_mean= [2.5137873] d= [1.]
FAC | warm_start_active=False, vs_mean=478.3112, vl_pi= 3.0168033 beta_penalty= 605041.0 lambda_mean= [0.71073276] VC_mean= [2.4691958] d= [1.]
FAC | warm_start_active=False, vs_mean=479.4164, vl_pi= 2.932604 beta_penalty= 579781.25 lambda_mean= [0.71073276] VC_mean= [2.4601984] d= [1.]
FAC | warm_start_active=False, vs_mean=481.1546, vl_pi= 2.9057767 beta_penalty= 571733.0 lambda_mean= [0.71073276] VC_mean= [2.5015495] d= [1.]
FAC | warm_start_active=False, vs_mean=486.0354, vl_pi= 3.1132796 beta_penalty= 633983.9 lambda_mean= [0.7092795] VC_mean= [2.5295317] d= [1.]
FAC | warm_start_active=False, vs_mean=484.6459, vl_pi= 3.0819664 beta_penalty= 624589.94 lambda_mean= [0.7092795] VC_mean= [2.5606813] d= [1.]
FAC | warm_start_active=False, vs_mean=480.8186, vl_pi= 2.9584906 beta_penalty= 587547.2 lambda_mean= [0.7092795] VC_mean= [2.5361047] d= [1.]
FAC | warm_start_active=False, vs_mean=480.4172, vl_pi= 2.8622031 beta_penalty= 558660.94 lambda_mean= [0.7092795] VC_mean= [2.5275621] d= [1.]
FAC | warm_start_active=False, vs_mean=480.8787, vl_pi= 2.8611057 beta_penalty= 558331.7 lambda_mean= [0.7092795] VC_mean= [2.5248559] d= [1.]
FAC | warm_start_active=False, vs_mean=478.0401, vl_pi= 3.1631436 beta_penalty= 648943.06 lambda_mean= [0.70874184] VC_mean= [2.5266147] d= [1.]
FAC | warm_start_active=False, vs_mean=477.3299, vl_pi= 2.952574 beta_penalty= 585772.2 lambda_mean= [0.70874184] VC_mean= [2.5146663] d= [1.]
FAC | warm_start_active=False, vs_mean=475.2901, vl_pi= 3.0235631 beta_penalty= 607068.94 lambda_mean= [0.70874184] VC_mean= [2.500812] d= [1.]
FAC | warm_start_active=False, vs_mean=476.6538, vl_pi= 2.891773 beta_penalty= 567531.9 lambda_mean= [0.70874184] VC_mean= [2.5125842] d= [1.]
FAC | warm_start_active=False, vs_mean=477.2166, vl_pi= 2.867983 beta_penalty= 560394.94 lambda_mean= [0.70874184] VC_mean= [2.5465932] d= [1.]
FAC | warm_start_active=False, vs_mean=483.1308, vl_pi= 3.0501447 beta_penalty= 615043.4 lambda_mean= [0.7096002] VC_mean= [2.5539248] d= [1.]
FAC | warm_start_active=False, vs_mean=483.7461, vl_pi= 3.0045228 beta_penalty= 601356.8 lambda_mean= [0.7096002] VC_mean= [2.5592403] d= [1.]
FAC | warm_start_active=False, vs_mean=483.9285, vl_pi= 2.9455829 beta_penalty= 583674.9 lambda_mean= [0.7096002] VC_mean= [2.5440125] d= [1.]
FAC | warm_start_active=False, vs_mean=483.1925, vl_pi= 2.9355404 beta_penalty= 580662.1 lambda_mean= [0.7096002] VC_mean= [2.555088] d= [1.]
FAC | warm_start_active=False, vs_mean=482.4370, vl_pi= 2.9993088 beta_penalty= 599792.6 lambda_mean= [0.7096002] VC_mean= [2.6258936] d= [1.]
FAC | warm_start_active=False, vs_mean=478.8609, vl_pi= 3.128176 beta_penalty= 638452.8 lambda_mean= [0.70974255] VC_mean= [2.648841] d= [1.]
FAC | warm_start_active=False, vs_mean=478.4448, vl_pi= 3.1168747 beta_penalty= 635062.44 lambda_mean= [0.70974255] VC_mean= [2.662715] d= [1.]
FAC | warm_start_active=False, vs_mean=476.4969, vl_pi= 3.1311455 beta_penalty= 639343.6 lambda_mean= [0.70974255] VC_mean= [2.675549] d= [1.]
FAC | warm_start_active=False, vs_mean=476.7597, vl_pi= 3.0160825 beta_penalty= 604824.75 lambda_mean= [0.70974255] VC_mean= [2.667307] d= [1.]
