n0054
Fri Sep  4 03:19:33 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 701 seed= 1 env= HalfCheetahCMDP k_epochs 5
env=HalfCheetahCMDP
state_dim=19
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4.725817244352644 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 4.725817244352644 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.15595626831055 tensor(6.9267) 40.22929000854492
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.15595626831055 tensor(6.9267) 40.22929000854492
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 57.06999588012695 tensor(6.9267) 50.14332962036133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 57.06999588012695 tensor(6.9267) 50.14332962036133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 57.06999588012695 tensor(6.9267) 50.14332962036133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 57.06999588012695 tensor(6.9267) 50.14332962036133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 57.06999588012695 tensor(6.9267) 50.14332962036133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.93913650512695 tensor(6.9267) 41.01247024536133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.93913650512695 tensor(6.9267) 41.01247024536133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.93913650512695 tensor(6.9267) 41.01247024536133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.93913650512695 tensor(6.9267) 41.01247024536133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.93913650512695 tensor(6.9267) 41.01247024536133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.14957809448242 tensor(6.9267) 41.2229118347168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.14957809448242 tensor(6.9267) 41.2229118347168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.14957809448242 tensor(6.9267) 41.2229118347168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.14957809448242 tensor(6.9267) 41.2229118347168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.14957809448242 tensor(6.9267) 41.2229118347168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.91910934448242 tensor(6.9267) 40.9924430847168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.91910934448242 tensor(6.9267) 40.9924430847168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.91910934448242 tensor(6.9267) 40.9924430847168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.91910934448242 tensor(6.9267) 40.9924430847168
