n0006
Sat Sep 19 04:36:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 5 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:537.7318863089796 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 537.7318863089796 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=143.3205, vl_pi= 0.59121245 beta_penalty= 14736.374 lambda_mean= [0.6938541] VC_mean= [0.51897776] d= [0.1]
FAC | warm_start_active=False, vs_mean=144.8029, vl_pi= 0.58532727 beta_penalty= 14559.818 lambda_mean= [0.6938541] VC_mean= [0.51876765] d= [0.1]
FAC | warm_start_active=False, vs_mean=147.7763, vl_pi= 0.5903151 beta_penalty= 14709.453 lambda_mean= [0.6938541] VC_mean= [0.5199344] d= [0.1]
FAC | warm_start_active=False, vs_mean=147.0341, vl_pi= 0.5933044 beta_penalty= 14799.132 lambda_mean= [0.6938541] VC_mean= [0.5196665] d= [0.1]
FAC | warm_start_active=False, vs_mean=147.5809, vl_pi= 0.58327943 beta_penalty= 14498.383 lambda_mean= [0.6938541] VC_mean= [0.5206864] d= [0.1]
FAC | warm_start_active=False, vs_mean=152.4083, vl_pi= 0.60076535 beta_penalty= 15022.96 lambda_mean= [0.69379234] VC_mean= [0.5240749] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.6334, vl_pi= 0.60455966 beta_penalty= 15136.789 lambda_mean= [0.69379234] VC_mean= [0.5253967] d= [0.1]
FAC | warm_start_active=False, vs_mean=158.5637, vl_pi= 0.587983 beta_penalty= 14639.49 lambda_mean= [0.69379234] VC_mean= [0.51963365] d= [0.1]
FAC | warm_start_active=False, vs_mean=160.3288, vl_pi= 0.5777055 beta_penalty= 14331.165 lambda_mean= [0.69379234] VC_mean= [0.51764435] d= [0.1]
FAC | warm_start_active=False, vs_mean=158.4042, vl_pi= 0.57261235 beta_penalty= 14178.37 lambda_mean= [0.69379234] VC_mean= [0.51566476] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.4113, vl_pi= 0.65045214 beta_penalty= 16513.562 lambda_mean= [0.693776] VC_mean= [0.51854706] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.1830, vl_pi= 0.6463025 beta_penalty= 16389.074 lambda_mean= [0.693776] VC_mean= [0.5165141] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.8852, vl_pi= 0.64727753 beta_penalty= 16418.326 lambda_mean= [0.693776] VC_mean= [0.5176471] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.6785, vl_pi= 0.637466 beta_penalty= 16123.9795 lambda_mean= [0.693776] VC_mean= [0.51984656] d= [0.1]
FAC | warm_start_active=False, vs_mean=155.2916, vl_pi= 0.6194649 beta_penalty= 15583.945 lambda_mean= [0.693776] VC_mean= [0.51838297] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.5963, vl_pi= 0.63614 beta_penalty= 16084.199 lambda_mean= [0.6938441] VC_mean= [0.520792] d= [0.1]
FAC | warm_start_active=False, vs_mean=160.0623, vl_pi= 0.6389007 beta_penalty= 16167.0205 lambda_mean= [0.6938441] VC_mean= [0.5206934] d= [0.1]
FAC | warm_start_active=False, vs_mean=159.5461, vl_pi= 0.64639777 beta_penalty= 16391.932 lambda_mean= [0.6938441] VC_mean= [0.5219859] d= [0.1]
FAC | warm_start_active=False, vs_mean=156.9471, vl_pi= 0.63401157 beta_penalty= 16020.347 lambda_mean= [0.6938441] VC_mean= [0.52204674] d= [0.1]
FAC | warm_start_active=False, vs_mean=157.0032, vl_pi= 0.6305178 beta_penalty= 15915.532 lambda_mean= [0.6938441] VC_mean= [0.5236635] d= [0.1]
FAC | warm_start_active=False, vs_mean=164.3702, vl_pi= 0.5923021 beta_penalty= 14769.0625 lambda_mean= [0.693802] VC_mean= [0.52435553] d= [0.1]
