2026-03-09 15:43:10,682 - INFO - Ep 41 | Reward: 20.0 | Cost: 3.35 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.256 | Reward Term: 9.394 | Beta: 1.3960 | Optimized: Reward
2026-03-09 15:43:10,696 - INFO - Ep 42 | Reward: 5.0 | Cost: 0.38 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.265 | Reward Term: 2.467 | Beta: 1.4059 | Optimized: Reward
2026-03-09 15:43:10,709 - INFO - Ep 43 | Reward: 7.0 | Cost: 0.73 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.274 | Reward Term: 3.431 | Beta: 1.4158 | Optimized: Reward
2026-03-09 15:43:10,720 - INFO - Ep 44 | Reward: 5.0 | Cost: 0.39 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.283 | Reward Term: 2.467 | Beta: 1.4257 | Optimized: Reward
2026-03-09 15:43:10,729 - INFO - Ep 45 | Reward: 5.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.292 | Reward Term: 2.960 | Beta: 1.4356 | Optimized: Reward
2026-03-09 15:43:10,740 - INFO - Ep 46 | Reward: 5.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.301 | Reward Term: 2.467 | Beta: 1.4455 | Optimized: Reward
2026-03-09 15:43:10,751 - INFO - Ep 47 | Reward: 6.0 | Cost: 0.64 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.310 | Reward Term: 2.950 | Beta: 1.4554 | Optimized: Reward
2026-03-09 15:43:10,780 - INFO - Ep 48 | Reward: 23.0 | Cost: 1.59 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.319 | Reward Term: 10.699 | Beta: 1.4653 | Optimized: Reward
2026-03-09 15:43:10,806 - INFO - Ep 49 | Reward: 15.0 | Cost: 1.48 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.328 | Reward Term: 7.161 | Beta: 1.4752 | Optimized: Reward
2026-03-09 15:43:10,834 - INFO - Ep 50 | Reward: 20.0 | Cost: 2.29 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.337 | Reward Term: 9.394 | Beta: 1.4851 | Optimized: Reward
2026-03-09 15:43:11,512 - INFO - Ep 51 | Reward: 7.0 | Cost: 0.68 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.346 | Reward Term: 3.431 | Beta: 1.4950 | Optimized: Reward
2026-03-09 15:43:11,528 - INFO - Ep 52 | Reward: 9.0 | Cost: 0.62 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.354 | Reward Term: 4.382 | Beta: 1.5049 | Optimized: Reward
2026-03-09 15:43:11,541 - INFO - Ep 53 | Reward: 7.0 | Cost: 0.47 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.363 | Reward Term: 3.921 | Beta: 1.5148 | Optimized: Reward
2026-03-09 15:43:11,554 - INFO - Ep 54 | Reward: 7.0 | Cost: 0.42 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.372 | Reward Term: 3.431 | Beta: 1.5247 | Optimized: Reward
2026-03-09 15:43:11,571 - INFO - Ep 55 | Reward: 11.0 | Cost: 1.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.381 | Reward Term: 5.321 | Beta: 1.5346 | Optimized: Reward
