n0071
Sat Sep 19 04:27:15 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.070827026811 	 evaluate_cost:0.02382837289769668 	 evaluate_max_cost:9.343180136056617e-05
New best model found! Saving model with reward: 4985.070827026811 and max cost: 9.343180136056617e-05
FAC | warm_start_active=False, vs_mean=485.3809, vl_pi= 2.9125395 beta_penalty= 573761.9 lambda_mean= [0.70455915] VC_mean= [2.5466087] d= [1.]
FAC | warm_start_active=False, vs_mean=486.8666, vl_pi= 2.8682992 beta_penalty= 560489.75 lambda_mean= [0.70455915] VC_mean= [2.5669448] d= [1.]
FAC | warm_start_active=False, vs_mean=487.6929, vl_pi= 2.9031873 beta_penalty= 570956.2 lambda_mean= [0.70455915] VC_mean= [2.575017] d= [1.]
FAC | warm_start_active=False, vs_mean=490.6245, vl_pi= 3.1930218 beta_penalty= 657906.56 lambda_mean= [0.70377445] VC_mean= [2.6027434] d= [1.]
FAC | warm_start_active=False, vs_mean=489.8664, vl_pi= 3.1198554 beta_penalty= 635956.6 lambda_mean= [0.70377445] VC_mean= [2.598446] d= [1.]
FAC | warm_start_active=False, vs_mean=486.6687, vl_pi= 3.1054208 beta_penalty= 631626.25 lambda_mean= [0.70377445] VC_mean= [2.6443543] d= [1.]
FAC | warm_start_active=False, vs_mean=484.6331, vl_pi= 3.0231674 beta_penalty= 606950.2 lambda_mean= [0.70377445] VC_mean= [2.6499739] d= [1.]
FAC | warm_start_active=False, vs_mean=482.3413, vl_pi= 3.0458903 beta_penalty= 613767.1 lambda_mean= [0.70377445] VC_mean= [2.6617746] d= [1.]
FAC | warm_start_active=False, vs_mean=479.8698, vl_pi= 3.105723 beta_penalty= 631716.9 lambda_mean= [0.70400447] VC_mean= [2.6376092] d= [1.]
FAC | warm_start_active=False, vs_mean=480.1700, vl_pi= 3.1695628 beta_penalty= 650868.9 lambda_mean= [0.70400447] VC_mean= [2.6381607] d= [1.]
FAC | warm_start_active=False, vs_mean=476.4966, vl_pi= 3.0312884 beta_penalty= 609386.5 lambda_mean= [0.70400447] VC_mean= [2.60118] d= [1.]
FAC | warm_start_active=False, vs_mean=474.3680, vl_pi= 2.9505959 beta_penalty= 585178.75 lambda_mean= [0.70400447] VC_mean= [2.6438966] d= [1.]
FAC | warm_start_active=False, vs_mean=474.4459, vl_pi= 2.9824884 beta_penalty= 594746.5 lambda_mean= [0.70400447] VC_mean= [2.638156] d= [1.]
FAC | warm_start_active=False, vs_mean=470.4245, vl_pi= 3.1614635 beta_penalty= 648439.06 lambda_mean= [0.7043447] VC_mean= [2.6430068] d= [1.]
FAC | warm_start_active=False, vs_mean=469.6110, vl_pi= 2.9993534 beta_penalty= 599806.0 lambda_mean= [0.7043447] VC_mean= [2.5956511] d= [1.]
FAC | warm_start_active=False, vs_mean=471.1262, vl_pi= 2.9782124 beta_penalty= 593463.7 lambda_mean= [0.7043447] VC_mean= [2.5774438] d= [1.]
FAC | warm_start_active=False, vs_mean=472.7707, vl_pi= 2.8970408 beta_penalty= 569112.25 lambda_mean= [0.7043447] VC_mean= [2.5835304] d= [1.]
FAC | warm_start_active=False, vs_mean=473.7814, vl_pi= 2.8624933 beta_penalty= 558748.0 lambda_mean= [0.7043447] VC_mean= [2.5660007] d= [1.]
FAC | warm_start_active=False, vs_mean=473.1055, vl_pi= 2.9930844 beta_penalty= 597925.3 lambda_mean= [0.704244] VC_mean= [2.5675292] d= [1.]
FAC | warm_start_active=False, vs_mean=473.9690, vl_pi= 2.9653897 beta_penalty= 589616.94 lambda_mean= [0.704244] VC_mean= [2.6320481] d= [1.]
FAC | warm_start_active=False, vs_mean=477.4676, vl_pi= 2.9233906 beta_penalty= 577017.2 lambda_mean= [0.704244] VC_mean= [2.633709] d= [1.]
FAC | warm_start_active=False, vs_mean=478.3522, vl_pi= 2.895902 beta_penalty= 568770.56 lambda_mean= [0.704244] VC_mean= [2.6125011] d= [1.]
FAC | warm_start_active=False, vs_mean=475.6745, vl_pi= 2.8550842 beta_penalty= 556525.25 lambda_mean= [0.704244] VC_mean= [2.5445335] d= [1.]
FAC | warm_start_active=False, vs_mean=473.0453, vl_pi= 2.8442001 beta_penalty= 553260.06 lambda_mean= [0.7047081] VC_mean= [2.524938] d= [1.]
FAC | warm_start_active=False, vs_mean=474.2975, vl_pi= 2.855502 beta_penalty= 556650.56 lambda_mean= [0.7047081] VC_mean= [2.5325007] d= [1.]
