2026-03-09 13:37:00,532 - INFO - Ep 58 | Reward: 6.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:00,556 - INFO - Ep 59 | Reward: 6.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:00,578 - INFO - Ep 60 | Reward: 5.0 | Cost: 0.02 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 13:37:00,614 - INFO - Ep 61 | Reward: 11.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 5.321 | Optimized: Cost
2026-03-09 13:37:00,656 - INFO - Ep 62 | Reward: 9.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 13:37:00,674 - INFO - Ep 63 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:00,699 - INFO - Ep 64 | Reward: 6.0 | Cost: 0.26 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:00,725 - INFO - Ep 65 | Reward: 8.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.908 | Optimized: Cost
2026-03-09 13:37:00,750 - INFO - Ep 66 | Reward: 6.0 | Cost: 0.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:00,791 - INFO - Ep 67 | Reward: 9.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.869 | Optimized: Cost
2026-03-09 13:37:00,817 - INFO - Ep 68 | Reward: 7.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:00,829 - INFO - Ep 69 | Reward: 6.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:00,870 - INFO - Ep 70 | Reward: 9.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 13:37:00,895 - INFO - Ep 71 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 13:37:00,921 - INFO - Ep 72 | Reward: 8.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 13:37:00,946 - INFO - Ep 73 | Reward: 5.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:00,966 - INFO - Ep 74 | Reward: 4.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 13:37:00,992 - INFO - Ep 75 | Reward: 5.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:37:01,042 - INFO - Ep 76 | Reward: 9.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.869 | Optimized: Cost
2026-03-09 13:37:01,083 - INFO - Ep 77 | Reward: 7.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:01,114 - INFO - Ep 78 | Reward: 6.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:01,146 - INFO - Ep 79 | Reward: 5.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:01,155 - INFO - Ep 80 | Reward: 5.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 13:37:01,192 - INFO - Ep 81 | Reward: 5.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:01,223 - INFO - Ep 82 | Reward: 9.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.869 | Optimized: Cost
2026-03-09 13:37:01,251 - INFO - Ep 83 | Reward: 7.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:01,262 - INFO - Ep 84 | Reward: 5.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:01,287 - INFO - Ep 85 | Reward: 7.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:01,328 - INFO - Ep 86 | Reward: 9.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 13:37:01,340 - INFO - Ep 87 | Reward: 6.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
