2026-03-09 14:14:29,838 - INFO - Ep 89 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:29,883 - INFO - Ep 90 | Reward: 14.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.941 | Reward Term: 7.185 | Optimized: Reward
2026-03-09 14:14:29,909 - INFO - Ep 91 | Reward: 5.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.941 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:29,938 - INFO - Ep 92 | Reward: 9.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.942 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:29,969 - INFO - Ep 93 | Reward: 10.0 | Cost: 0.42 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.942 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:30,019 - INFO - Ep 94 | Reward: 17.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.943 | Reward Term: 8.538 | Optimized: Reward
2026-03-09 14:14:30,045 - INFO - Ep 95 | Reward: 6.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.943 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:14:30,076 - INFO - Ep 96 | Reward: 11.0 | Cost: 0.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.944 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:14:30,099 - INFO - Ep 97 | Reward: 5.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.944 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 14:14:30,125 - INFO - Ep 98 | Reward: 7.0 | Cost: 0.35 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.945 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:30,171 - INFO - Ep 99 | Reward: 14.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.945 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:14:30,185 - INFO - Ep 100 | Reward: 7.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.946 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:30,678 - INFO - Ep 101 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:14:30,706 - INFO - Ep 102 | Reward: 9.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.947 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:30,757 - INFO - Ep 103 | Reward: 17.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.947 | Reward Term: 8.063 | Optimized: Reward
2026-03-09 14:14:30,801 - INFO - Ep 104 | Reward: 9.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.948 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:30,855 - INFO - Ep 105 | Reward: 20.0 | Cost: 0.36 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.948 | Reward Term: 9.864 | Optimized: Reward
2026-03-09 14:14:30,913 - INFO - Ep 106 | Reward: 21.0 | Cost: 0.32 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.949 | Reward Term: 9.832 | Optimized: Reward
2026-03-09 14:14:30,958 - INFO - Ep 107 | Reward: 8.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.949 | Reward Term: 3.908 | Optimized: Reward
