n0050
Thu Aug 27 11:01:15 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 7 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.8368217784400567 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.8368217784400567 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 66.6023178100586 tensor(1.4742) tensor(38226.1367)
ch, vs_mean, vl_pi, beta penalty= 0 66.8128433227539 tensor(1.4713) tensor(38137.6836)
ch, vs_mean, vl_pi, beta penalty= 0 66.39765930175781 tensor(1.4549) tensor(37647.7305)
ch, vs_mean, vl_pi, beta penalty= 0 66.20479583740234 tensor(1.4611) tensor(37832.6172)
ch, vs_mean, vl_pi, beta penalty= 0 68.18030548095703 tensor(2.2259) tensor(60776.9766)
ch, vs_mean, vl_pi, beta penalty= 0 68.48199462890625 tensor(2.1711) tensor(59133.8672)
ch, vs_mean, vl_pi, beta penalty= 0 68.90837860107422 tensor(2.1805) tensor(59414.7266)
ch, vs_mean, vl_pi, beta penalty= 0 69.23033142089844 tensor(2.1675) tensor(59023.6055)
ch, vs_mean, vl_pi, beta penalty= 0 69.237060546875 tensor(2.1922) tensor(59764.7969)
ch, vs_mean, vl_pi, beta penalty= 0 73.65839385986328 tensor(3.9085) tensor(111253.6484)
ch, vs_mean, vl_pi, beta penalty= 0 72.66468811035156 tensor(3.8975) tensor(110924.6719)
ch, vs_mean, vl_pi, beta penalty= 0 72.52067565917969 tensor(3.7952) tensor(107854.8984)
ch, vs_mean, vl_pi, beta penalty= 0 72.11023712158203 tensor(3.7423) tensor(106270.4766)
ch, vs_mean, vl_pi, beta penalty= 0 72.14771270751953 tensor(3.7012) tensor(105036.0625)
ch, vs_mean, vl_pi, beta penalty= 0 71.95956420898438 tensor(2.6812) tensor(74435.1016)
ch, vs_mean, vl_pi, beta penalty= 0 73.75456237792969 tensor(2.7341) tensor(76022.8203)
ch, vs_mean, vl_pi, beta penalty= 0 74.18983459472656 tensor(2.7081) tensor(75242.2109)
ch, vs_mean, vl_pi, beta penalty= 0 74.80085754394531 tensor(2.7135) tensor(75404.6250)
ch, vs_mean, vl_pi, beta penalty= 0 74.70811462402344 tensor(2.6863) tensor(74588.5234)
ch, vs_mean, vl_pi, beta penalty= 0 73.83164978027344 tensor(3.4459) tensor(97376.7422)
ch, vs_mean, vl_pi, beta penalty= 0 74.25653839111328 tensor(3.4124) tensor(96372.4141)
ch, vs_mean, vl_pi, beta penalty= 0 73.9421615600586 tensor(3.3887) tensor(95661.2422)
ch, vs_mean, vl_pi, beta penalty= 0 74.49124145507812 tensor(3.3150) tensor(93450.8047)
ch, vs_mean, vl_pi, beta penalty= 0 75.65999603271484 tensor(3.2671) tensor(92012.5234)
ch, vs_mean, vl_pi, beta penalty= 0 80.2139892578125 tensor(2.1279) tensor(57835.9570)
ch, vs_mean, vl_pi, beta penalty= 0 79.02479553222656 tensor(2.1059) tensor(57177.1641)
ch, vs_mean, vl_pi, beta penalty= 0 78.0875015258789 tensor(2.1507) tensor(58520.3945)
ch, vs_mean, vl_pi, beta penalty= 0 78.06048583984375 tensor(2.1859) tensor(59575.8164)
ch, vs_mean, vl_pi, beta penalty= 0 78.06401062011719 tensor(2.2041) tensor(60122.2656)
ch, vs_mean, vl_pi, beta penalty= 0 78.89710998535156 tensor(2.1596) tensor(58787.1328)
ch, vs_mean, vl_pi, beta penalty= 0 78.67294311523438 tensor(2.2129) tensor(60387.7891)
ch, vs_mean, vl_pi, beta penalty= 0 78.86302947998047 tensor(2.2696) tensor(62087.0859)
ch, vs_mean, vl_pi, beta penalty= 0 77.61539459228516 tensor(2.2939) tensor(62818.0938)
ch, vs_mean, vl_pi, beta penalty= 0 77.3249282836914 tensor(2.3355) tensor(64065.6367)
ch, vs_mean, vl_pi, beta penalty= 0 80.38937377929688 tensor(1.7864) tensor(47593.0469)
ch, vs_mean, vl_pi, beta penalty= 0 80.44408416748047 tensor(1.8387) tensor(49160.5234)
ch, vs_mean, vl_pi, beta penalty= 0 79.8624267578125 tensor(1.9206) tensor(51619.3047)
ch, vs_mean, vl_pi, beta penalty= 0 79.81005859375 tensor(1.9095) tensor(51285.2031)
ch, vs_mean, vl_pi, beta penalty= 0 79.60120391845703 tensor(1.9238) tensor(51715.4258)
ch, vs_mean, vl_pi, beta penalty= 0 80.7086181640625 tensor(2.9896) tensor(83688.8438)
ch, vs_mean, vl_pi, beta penalty= 0 79.42921447753906 tensor(2.9130) tensor(81390.5156)
ch, vs_mean, vl_pi, beta penalty= 0 79.27066802978516 tensor(2.9668) tensor(83005.0547)
ch, vs_mean, vl_pi, beta penalty= 0 78.84903717041016 tensor(2.9382) tensor(82146.5312)
ch, vs_mean, vl_pi, beta penalty= 0 78.55396270751953 tensor(2.9431) tensor(82292.1484)
ch, vs_mean, vl_pi, beta penalty= 0 76.3484115600586 tensor(2.5271) tensor(69814.4297)
ch, vs_mean, vl_pi, beta penalty= 0 78.2401123046875 tensor(2.5534) tensor(70601.6875)
ch, vs_mean, vl_pi, beta penalty= 0 78.66438293457031 tensor(2.5634) tensor(70901.9766)
ch, vs_mean, vl_pi, beta penalty= 0 79.21100616455078 tensor(2.5603) tensor(70809.3203)
ch, vs_mean, vl_pi, beta penalty= 0 78.7264404296875 tensor(2.5777) tensor(71330.1094)
ch, vs_mean, vl_pi, beta penalty= 0 78.54092407226562 tensor(1.8737) tensor(50211.8516)
ch, vs_mean, vl_pi, beta penalty= 0 77.38726806640625 tensor(1.8555) tensor(49665.0234)
ch, vs_mean, vl_pi, beta penalty= 0 77.35861206054688 tensor(1.8313) tensor(48939.9883)
ch, vs_mean, vl_pi, beta penalty= 0 77.53108215332031 tensor(1.8064) tensor(48190.6641)
ch, vs_mean, vl_pi, beta penalty= 0 77.87567901611328 tensor(1.8160) tensor(48480.4922)
ch, vs_mean, vl_pi, beta penalty= 0 80.07855987548828 tensor(4.5800) tensor(131401.0938)
ch, vs_mean, vl_pi, beta penalty= 0 79.57081604003906 tensor(4.4611) tensor(127834.0391)
ch, vs_mean, vl_pi, beta penalty= 0 78.02206420898438 tensor(4.4185) tensor(126554.7188)
ch, vs_mean, vl_pi, beta penalty= 0 77.95083618164062 tensor(4.3664) tensor(124991.2422)
ch, vs_mean, vl_pi, beta penalty= 0 77.89019775390625 tensor(4.3449) tensor(124348.4297)
ch, vs_mean, vl_pi, beta penalty= 0 77.95142364501953 tensor(7.9314) tensor(231943.2969)
ch, vs_mean, vl_pi, beta penalty= 0 78.82158660888672 tensor(7.7400) tensor(226200.8125)
ch, vs_mean, vl_pi, beta penalty= 0 79.25684356689453 tensor(7.6038) tensor(222112.7969)
ch, vs_mean, vl_pi, beta penalty= 0 79.3227767944336 tensor(7.4242) tensor(216725.3906)
ch, vs_mean, vl_pi, beta penalty= 0 78.49417877197266 tensor(7.2802) tensor(212406.9375)
ch, vs_mean, vl_pi, beta penalty= 0 77.58611297607422 tensor(1.6476) tensor(43426.5586)
ch, vs_mean, vl_pi, beta penalty= 0 78.59307098388672 tensor(1.6608) tensor(43824.7891)
ch, vs_mean, vl_pi, beta penalty= 0 79.10078430175781 tensor(1.6323) tensor(42967.9961)
ch, vs_mean, vl_pi, beta penalty= 0 79.91190338134766 tensor(1.6027) tensor(42081.3477)
ch, vs_mean, vl_pi, beta penalty= 0 80.51740264892578 tensor(1.5831) tensor(41493.0117)
ch, vs_mean, vl_pi, beta penalty= 0 85.3166732788086 tensor(5.7070) tensor(165209.5625)
ch, vs_mean, vl_pi, beta penalty= 0 84.92572784423828 tensor(5.7572) tensor(166717.1719)
ch, vs_mean, vl_pi, beta penalty= 0 84.89156341552734 tensor(5.6574) tensor(163721.9062)
