n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.480583454798156 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.480583454798156 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 69.10376739501953 tensor(3.5472) tensor(100415.6328)
ch, vs_mean, vl_pi, beta penalty= 0 70.06800842285156 tensor(3.4566) tensor(97699.0312)
ch, vs_mean, vl_pi, beta penalty= 0 70.616943359375 tensor(3.4186) tensor(96558.8281)
ch, vs_mean, vl_pi, beta penalty= 0 75.962646484375 tensor(2.9523) tensor(82569.9609)
ch, vs_mean, vl_pi, beta penalty= 0 75.43588256835938 tensor(2.9593) tensor(82778.2031)
ch, vs_mean, vl_pi, beta penalty= 0 76.63538360595703 tensor(2.9671) tensor(83011.7656)
ch, vs_mean, vl_pi, beta penalty= 0 76.93165588378906 tensor(2.9655) tensor(82965.4609)
ch, vs_mean, vl_pi, beta penalty= 0 77.37104797363281 tensor(2.9614) tensor(82841.9141)
ch, vs_mean, vl_pi, beta penalty= 0 87.59542846679688 tensor(6.5213) tensor(189639.2656)
ch, vs_mean, vl_pi, beta penalty= 0 84.25890350341797 tensor(6.3189) tensor(183568.2188)
ch, vs_mean, vl_pi, beta penalty= 0 81.32618713378906 tensor(6.1516) tensor(178548.7500)
ch, vs_mean, vl_pi, beta penalty= 0 79.49052429199219 tensor(6.0698) tensor(176095.4062)
ch, vs_mean, vl_pi, beta penalty= 0 78.54409790039062 tensor(5.9921) tensor(173762.4688)
ch, vs_mean, vl_pi, beta penalty= 0 82.10848236083984 tensor(2.3702) tensor(65105.9805)
ch, vs_mean, vl_pi, beta penalty= 0 81.99516296386719 tensor(2.3709) tensor(65127.0117)
ch, vs_mean, vl_pi, beta penalty= 0 81.43991088867188 tensor(2.3405) tensor(64214.0312)
ch, vs_mean, vl_pi, beta penalty= 0 80.42442321777344 tensor(2.3038) tensor(63113.1094)
ch, vs_mean, vl_pi, beta penalty= 0 79.87112426757812 tensor(2.3000) tensor(63000.0391)
ch, vs_mean, vl_pi, beta penalty= 0 76.9041976928711 tensor(2.5777) tensor(71331.4688)
ch, vs_mean, vl_pi, beta penalty= 0 76.4486312866211 tensor(2.5568) tensor(70704.7891)
ch, vs_mean, vl_pi, beta penalty= 0 75.38933563232422 tensor(2.6340) tensor(73019.9844)
ch, vs_mean, vl_pi, beta penalty= 0 75.70587921142578 tensor(2.6822) tensor(74466.8516)
ch, vs_mean, vl_pi, beta penalty= 0 75.78815460205078 tensor(2.6431) tensor(73292.3750)
ch, vs_mean, vl_pi, beta penalty= 0 81.0608139038086 tensor(3.8495) tensor(109483.9844)
ch, vs_mean, vl_pi, beta penalty= 0 79.63310241699219 tensor(3.9144) tensor(111432.0078)
ch, vs_mean, vl_pi, beta penalty= 0 79.8738784790039 tensor(3.8409) tensor(109227.2109)
ch, vs_mean, vl_pi, beta penalty= 0 78.9793472290039 tensor(3.7184) tensor(105552.1953)
ch, vs_mean, vl_pi, beta penalty= 0 79.37134552001953 tensor(3.7350) tensor(106049.4062)
ch, vs_mean, vl_pi, beta penalty= 0 77.63658142089844 tensor(4.2926) tensor(122779.0391)
ch, vs_mean, vl_pi, beta penalty= 0 77.02387237548828 tensor(4.1709) tensor(119127.7656)
ch, vs_mean, vl_pi, beta penalty= 0 76.36908721923828 tensor(4.1384) tensor(118152.5625)
