n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstaclePerturbed k_epochs 5
env=HumanoidForwardObstaclePerturbed
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.802438336743 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.802438336743 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 467.0377197265625 tensor(1.3377) tensor(251304.5000)
ch, vs_mean, vl_pi, beta penalty= 0 468.79058837890625 tensor(1.2982) tensor(239459.1875)
ch, vs_mean, vl_pi, beta penalty= 0 471.70513916015625 tensor(1.2551) tensor(226541.2969)
ch, vs_mean, vl_pi, beta penalty= 0 475.579345703125 tensor(1.3476) tensor(254277.6406)
ch, vs_mean, vl_pi, beta penalty= 0 477.3381652832031 tensor(1.3847) tensor(265412.5312)
ch, vs_mean, vl_pi, beta penalty= 0 475.43011474609375 tensor(1.3276) tensor(248265.2969)
ch, vs_mean, vl_pi, beta penalty= 0 475.232421875 tensor(1.3591) tensor(257741.0469)
ch, vs_mean, vl_pi, beta penalty= 0 475.13995361328125 tensor(1.2973) tensor(239192.9688)
ch, vs_mean, vl_pi, beta penalty= 0 466.68658447265625 tensor(1.3495) tensor(254840.4688)
ch, vs_mean, vl_pi, beta penalty= 0 466.0572814941406 tensor(1.3010) tensor(240300.4688)
ch, vs_mean, vl_pi, beta penalty= 0 468.61785888671875 tensor(1.2917) tensor(237498.7656)
ch, vs_mean, vl_pi, beta penalty= 0 469.5104675292969 tensor(1.2375) tensor(221263.)
ch, vs_mean, vl_pi, beta penalty= 0 468.9851379394531 tensor(1.1657) tensor(199700.0781)
ch, vs_mean, vl_pi, beta penalty= 0 472.89288330078125 tensor(1.1241) tensor(187224.9844)
ch, vs_mean, vl_pi, beta penalty= 0 474.4225769042969 tensor(1.1311) tensor(189333.1719)
ch, vs_mean, vl_pi, beta penalty= 0 472.65643310546875 tensor(1.0705) tensor(171164.3125)
ch, vs_mean, vl_pi, beta penalty= 0 471.34613037109375 tensor(1.0642) tensor(169271.9531)
ch, vs_mean, vl_pi, beta penalty= 0 471.7908020019531 tensor(1.0719) tensor(171577.7344)
ch, vs_mean, vl_pi, beta penalty= 0 474.8092956542969 tensor(1.2071) tensor(212132.5781)
ch, vs_mean, vl_pi, beta penalty= 0 475.5884704589844 tensor(1.1954) tensor(208605.5469)
ch, vs_mean, vl_pi, beta penalty= 0 476.5743103027344 tensor(1.1464) tensor(193927.1875)
ch, vs_mean, vl_pi, beta penalty= 0 476.0048522949219 tensor(1.1118) tensor(183550.4219)
ch, vs_mean, vl_pi, beta penalty= 0 475.732177734375 tensor(1.0630) tensor(168900.6719)
ch, vs_mean, vl_pi, beta penalty= 0 477.88177490234375 tensor(1.2070) tensor(212092.6094)
ch, vs_mean, vl_pi, beta penalty= 0 476.68572998046875 tensor(1.1715) tensor(201462.3594)
ch, vs_mean, vl_pi, beta penalty= 0 477.5064392089844 tensor(1.1262) tensor(187846.1406)
ch, vs_mean, vl_pi, beta penalty= 0 478.64788818359375 tensor(1.0962) tensor(178852.2656)
ch, vs_mean, vl_pi, beta penalty= 0 481.00518798828125 tensor(1.0687) tensor(170623.1875)
ch, vs_mean, vl_pi, beta penalty= 0 483.68243408203125 tensor(1.1428) tensor(192830.8750)
ch, vs_mean, vl_pi, beta penalty= 0 482.2111511230469 tensor(1.1155) tensor(184637.6875)
ch, vs_mean, vl_pi, beta penalty= 0 482.6922607421875 tensor(1.1082) tensor(182452.0156)
ch, vs_mean, vl_pi, beta penalty= 0 480.4351501464844 tensor(1.0702) tensor(171067.2500)
ch, vs_mean, vl_pi, beta penalty= 0 479.22491455078125 tensor(1.0442) tensor(163271.6094)
ch, vs_mean, vl_pi, beta penalty= 0 480.8141784667969 tensor(1.1067) tensor(182017.9219)
ch, vs_mean, vl_pi, beta penalty= 0 479.8319396972656 tensor(1.0861) tensor(175823.2344)
ch, vs_mean, vl_pi, beta penalty= 0 479.0674133300781 tensor(1.1014) tensor(180418.5312)
ch, vs_mean, vl_pi, beta penalty= 0 481.2318420410156 tensor(1.0781) tensor(173420.2656)
ch, vs_mean, vl_pi, beta penalty= 0 481.97222900390625 tensor(1.0681) tensor(170416.5781)
ch, vs_mean, vl_pi, beta penalty= 0 481.42242431640625 tensor(1.1575) tensor(197255.2969)
ch, vs_mean, vl_pi, beta penalty= 0 481.26116943359375 tensor(1.1468) tensor(194030.5781)
ch, vs_mean, vl_pi, beta penalty= 0 479.8161926269531 tensor(1.0927) tensor(177809.1406)
ch, vs_mean, vl_pi, beta penalty= 0 480.59515380859375 tensor(1.0852) tensor(175550.2969)
ch, vs_mean, vl_pi, beta penalty= 0 479.49267578125 tensor(1.0331) tensor(159939.3438)
ch, vs_mean, vl_pi, beta penalty= 0 480.9713439941406 tensor(1.0044) tensor(151313.7031)
ch, vs_mean, vl_pi, beta penalty= 0 480.6805114746094 tensor(0.9879) tensor(146365.1250)
ch, vs_mean, vl_pi, beta penalty= 0 479.1817321777344 tensor(0.9811) tensor(144315.3906)
ch, vs_mean, vl_pi, beta penalty= 0 478.9767761230469 tensor(0.9469) tensor(134055.8906)
ch, vs_mean, vl_pi, beta penalty= 0 478.1385192871094 tensor(0.9364) tensor(130909.4844)
ch, vs_mean, vl_pi, beta penalty= 0 479.73858642578125 tensor(0.9847) tensor(145398.9375)
ch, vs_mean, vl_pi, beta penalty= 0 479.5170593261719 tensor(0.9483) tensor(134501.1562)
ch, vs_mean, vl_pi, beta penalty= 0 481.0556335449219 tensor(0.9355) tensor(130650.8281)
ch, vs_mean, vl_pi, beta penalty= 0 478.591064453125 tensor(0.9522) tensor(135658.1250)
ch, vs_mean, vl_pi, beta penalty= 0 477.3513488769531 tensor(0.9100) tensor(123010.2734)
ch, vs_mean, vl_pi, beta penalty= 0 468.2663879394531 tensor(0.9921) tensor(147641.4844)
ch, vs_mean, vl_pi, beta penalty= 0 468.0705871582031 tensor(0.9722) tensor(141669.0938)
ch, vs_mean, vl_pi, beta penalty= 0 468.09228515625 tensor(0.9460) tensor(133792.6875)
ch, vs_mean, vl_pi, beta penalty= 0 467.1249084472656 tensor(0.9116) tensor(123476.0469)
ch, vs_mean, vl_pi, beta penalty= 0 467.61859130859375 tensor(0.8959) tensor(118779.9609)
ch, vs_mean, vl_pi, beta penalty= 0 469.6286315917969 tensor(0.8626) tensor(108790.1328)
ch, vs_mean, vl_pi, beta penalty= 0 471.74749755859375 tensor(0.8426) tensor(102792.2266)
ch, vs_mean, vl_pi, beta penalty= 0 474.1810302734375 tensor(0.8224) tensor(96730.7422)
ch, vs_mean, vl_pi, beta penalty= 0 475.9434814453125 tensor(0.8084) tensor(92515.8281)
ch, vs_mean, vl_pi, beta penalty= 0 475.59600830078125 tensor(0.8085) tensor(92560.2812)
ch, vs_mean, vl_pi, beta penalty= 0 478.9837646484375 tensor(0.8566) tensor(106965.4609)
ch, vs_mean, vl_pi, beta penalty= 0 480.01434326171875 tensor(0.8368) tensor(101031.8750)
ch, vs_mean, vl_pi, beta penalty= 0 476.72222900390625 tensor(0.8277) tensor(98306.)
ch, vs_mean, vl_pi, beta penalty= 0 477.6719055175781 tensor(0.8002) tensor(90071.0078)
ch, vs_mean, vl_pi, beta penalty= 0 477.3193054199219 tensor(0.7680) tensor(80389.8828)
ch, vs_mean, vl_pi, beta penalty= 0 475.33685302734375 tensor(0.8653) tensor(109575.0156)
ch, vs_mean, vl_pi, beta penalty= 0 474.7838439941406 tensor(0.8706) tensor(111166.4766)
ch, vs_mean, vl_pi, beta penalty= 0 475.95086669921875 tensor(0.8319) tensor(99562.8984)
ch, vs_mean, vl_pi, beta penalty= 0 475.3745422363281 tensor(0.8047) tensor(91423.5625)
ch, vs_mean, vl_pi, beta penalty= 0 475.5243225097656 tensor(0.7777) tensor(83296.5547)
ch, vs_mean, vl_pi, beta penalty= 0 472.10638427734375 tensor(0.8741) tensor(112219.0156)
ch, vs_mean, vl_pi, beta penalty= 0 474.3381652832031 tensor(0.8311) tensor(99326.9531)
ch, vs_mean, vl_pi, beta penalty= 0 476.01385498046875 tensor(0.7932) tensor(87951.5859)
ch, vs_mean, vl_pi, beta penalty= 0 475.84039306640625 tensor(0.7581) tensor(77442.7266)
ch, vs_mean, vl_pi, beta penalty= 0 479.0357360839844 tensor(0.7409) tensor(72276.3984)
ch, vs_mean, vl_pi, beta penalty= 0 483.4291687011719 tensor(0.7201) tensor(66020.0547)
ch, vs_mean, vl_pi, beta penalty= 0 482.0 tensor(0.7526) tensor(75794.4531)
ch, vs_mean, vl_pi, beta penalty= 0 480.34521484375 tensor(0.7516) tensor(75475.9297)
ch, vs_mean, vl_pi, beta penalty= 0 480.61907958984375 tensor(0.7435) tensor(73047.1016)
ch, vs_mean, vl_pi, beta penalty= 0 481.0255126953125 tensor(0.7328) tensor(69826.0391)
ch, vs_mean, vl_pi, beta penalty= 0 475.3938903808594 tensor(0.8255) tensor(97662.3203)
ch, vs_mean, vl_pi, beta penalty= 0 473.0028991699219 tensor(0.8229) tensor(96875.7578)
ch, vs_mean, vl_pi, beta penalty= 0 471.4145202636719 tensor(0.8019) tensor(90573.5703)
ch, vs_mean, vl_pi, beta penalty= 0 471.90789794921875 tensor(0.7656) tensor(79691.5078)
ch, vs_mean, vl_pi, beta penalty= 0 471.0780334472656 tensor(0.7580) tensor(77399.0391)
ch, vs_mean, vl_pi, beta penalty= 0 473.7524719238281 tensor(0.7461) tensor(73830.0703)
ch, vs_mean, vl_pi, beta penalty= 0 475.897705078125 tensor(0.7571) tensor(77127.0312)
ch, vs_mean, vl_pi, beta penalty= 0 477.9405517578125 tensor(0.7509) tensor(75255.4531)
ch, vs_mean, vl_pi, beta penalty= 0 476.9132995605469 tensor(0.7678) tensor(80341.8125)
ch, vs_mean, vl_pi, beta penalty= 0 480.1032409667969 tensor(0.7319) tensor(69562.7891)
ch, vs_mean, vl_pi, beta penalty= 0 484.78314208984375 tensor(0.8219) tensor(96577.0312)
ch, vs_mean, vl_pi, beta penalty= 0 483.0232238769531 tensor(0.7984) tensor(89524.4688)
ch, vs_mean, vl_pi, beta penalty= 0 484.6944885253906 tensor(0.7631) tensor(78939.0547)
ch, vs_mean, vl_pi, beta penalty= 0 484.5745849609375 tensor(0.7814) tensor(84417.7344)
ch, vs_mean, vl_pi, beta penalty= 0 485.0045166015625 tensor(0.7676) tensor(80283.3594)
ch, vs_mean, vl_pi, beta penalty= 0 477.2284851074219 tensor(0.7373) tensor(71189.3828)
