n0050
Sun Sep 20 10:22:59 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidWithCost
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
lambda=0.00000, eps=1.00000, pred_cost=186.85840, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=184.78981, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.26254, p_value=0.99986, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=183.33627, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
evaluate_num:3 	 evaluate_reward:4985.237793000204 	 evaluate_cost:2.140142722055316 	 evaluate_max_cost:0.002140142722055316
New best model found! Saving model with reward: 4985.237793000204 and max cost: 0.002140142722055316
lambda=0.00000, eps=1.00000, pred_cost=179.31488, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.72958, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=182.01836, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=183.83250, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.30475, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=182.40456, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=179.53351, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.16504, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=177.67252, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=184.84933, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=183.04001, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.14789, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.93184, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=179.40251, p_value=0.99987, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=179.39960, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=179.14954, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=182.13379, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=179.33261, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=184.04688, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=185.31569, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=183.12967, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=184.62077, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.60246, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.20374, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.69044, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=185.79340, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=186.75293, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=185.81683, p_value=0.99988, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=184.01997, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=187.46629, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=179.57655, p_value=0.99991, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=187.28912, p_value=0.99991, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=183.68100, p_value=0.99991, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=187.51904, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.62518, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=185.58452, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.26070, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=182.91321, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=184.66206, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=182.66718, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.88518, p_value=0.99991, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.50641, p_value=0.99991, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.27657, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.23209, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.27196, p_value=0.99992, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=180.21608, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=174.48633, p_value=0.99990, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=181.85793, p_value=0.99989, constraint_value=0.00000, constraint_violation=0.00000
evaluate_num:4 	 evaluate_reward:4978.999284656068 	 evaluate_cost:1.4991017524152994 	 evaluate_max_cost:0.0014991017524152994
lambda=0.00000, eps=1.00000, pred_cost=180.11241, p_value=0.99992, constraint_value=0.00851, constraint_violation=-0.99149
lambda=0.00000, eps=1.00000, pred_cost=179.15002, p_value=0.99990, constraint_value=0.01193, constraint_violation=-0.98807
lambda=0.00000, eps=1.00000, pred_cost=175.12547, p_value=0.99992, constraint_value=0.00815, constraint_violation=-0.99185
lambda=0.00000, eps=1.00000, pred_cost=178.21925, p_value=0.99991, constraint_value=0.00992, constraint_violation=-0.99008
lambda=0.00000, eps=1.00000, pred_cost=175.67140, p_value=0.99991, constraint_value=0.00989, constraint_violation=-0.99011
lambda=0.00000, eps=1.00000, pred_cost=176.95860, p_value=0.99991, constraint_value=0.00990, constraint_violation=-0.99010
lambda=0.00000, eps=1.00000, pred_cost=176.72293, p_value=0.99992, constraint_value=0.00816, constraint_violation=-0.99184
lambda=0.00000, eps=1.00000, pred_cost=174.31560, p_value=0.99989, constraint_value=0.01245, constraint_violation=-0.98755
