2026-03-09 12:52:16,577 - INFO - Ep 53 | Reward: 4.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 12:52:16,588 - INFO - Ep 54 | Reward: 6.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 12:52:16,605 - INFO - Ep 55 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 5.321 | Optimized: Cost
2026-03-09 12:52:16,619 - INFO - Ep 56 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 12:52:16,629 - INFO - Ep 57 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 12:52:16,644 - INFO - Ep 58 | Reward: 10.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 4.853 | Optimized: Cost
2026-03-09 12:52:16,658 - INFO - Ep 59 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 12:52:16,671 - INFO - Ep 60 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 12:52:16,691 - INFO - Ep 61 | Reward: 13.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 6.247 | Optimized: Cost
2026-03-09 12:52:16,706 - INFO - Ep 62 | Reward: 7.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.921 | Optimized: Cost
2026-03-09 12:52:16,724 - INFO - Ep 63 | Reward: 9.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 12:52:16,738 - INFO - Ep 64 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.921 | Optimized: Cost
2026-03-09 12:52:16,750 - INFO - Ep 65 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 12:52:16,763 - INFO - Ep 66 | Reward: 7.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 12:52:16,776 - INFO - Ep 67 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 12:52:16,786 - INFO - Ep 68 | Reward: 4.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 12:52:16,798 - INFO - Ep 69 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 12:52:16,808 - INFO - Ep 70 | Reward: 4.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 12:52:16,821 - INFO - Ep 71 | Reward: 8.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.908 | Optimized: Cost
2026-03-09 12:52:16,835 - INFO - Ep 72 | Reward: 8.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 12:52:16,846 - INFO - Ep 73 | Reward: 5.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:16,856 - INFO - Ep 74 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:16,865 - INFO - Ep 75 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 12:52:16,884 - INFO - Ep 76 | Reward: 13.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 6.247 | Optimized: Cost
2026-03-09 12:52:16,896 - INFO - Ep 77 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:16,909 - INFO - Ep 78 | Reward: 5.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:16,919 - INFO - Ep 79 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:16,932 - INFO - Ep 80 | Reward: 9.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 4.869 | Optimized: Cost
2026-03-09 12:52:16,942 - INFO - Ep 81 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 12:52:16,954 - INFO - Ep 82 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.921 | Optimized: Cost
2026-03-09 12:52:16,964 - INFO - Ep 83 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.442 | Optimized: Cost
2026-03-09 12:52:16,975 - INFO - Ep 84 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 12:52:16,987 - INFO - Ep 85 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.921 | Optimized: Cost
