n0093
Tue Aug 25 05:25:03 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 3 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.489046217548397 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.489046217548397 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 62.65648651123047 tensor(2.0556) tensor(55667.7031)
ch, vs_mean, vl_pi, beta penalty= 0 63.06755828857422 tensor(2.0197) tensor(54590.1562)
ch, vs_mean, vl_pi, beta penalty= 0 61.697086334228516 tensor(2.0580) tensor(55739.8164)
ch, vs_mean, vl_pi, beta penalty= 0 62.75169372558594 tensor(2.0937) tensor(56810.7188)
ch, vs_mean, vl_pi, beta penalty= 0 62.460845947265625 tensor(2.0715) tensor(56145.6875)
ch, vs_mean, vl_pi, beta penalty= 0 63.113548278808594 tensor(2.0021) tensor(54063.3555)
ch, vs_mean, vl_pi, beta penalty= 0 62.9245491027832 tensor(2.0195) tensor(54586.0938)
ch, vs_mean, vl_pi, beta penalty= 0 63.64387893676758 tensor(2.0412) tensor(55236.3164)
ch, vs_mean, vl_pi, beta penalty= 0 64.89125061035156 tensor(2.0385) tensor(55154.7305)
ch, vs_mean, vl_pi, beta penalty= 0 65.108154296875 tensor(2.0551) tensor(55651.9375)
ch, vs_mean, vl_pi, beta penalty= 0 66.32152557373047 tensor(2.9894) tensor(83681.7969)
ch, vs_mean, vl_pi, beta penalty= 0 66.68685913085938 tensor(2.9457) tensor(82371.6953)
ch, vs_mean, vl_pi, beta penalty= 0 66.63627624511719 tensor(2.8570) tensor(79710.6953)
ch, vs_mean, vl_pi, beta penalty= 0 66.2935562133789 tensor(2.8473) tensor(79419.8984)
ch, vs_mean, vl_pi, beta penalty= 0 66.2269515991211 tensor(2.7704) tensor(77112.6016)
ch, vs_mean, vl_pi, beta penalty= 0 65.06150817871094 tensor(1.3635) tensor(34904.8750)
ch, vs_mean, vl_pi, beta penalty= 0 64.56303405761719 tensor(1.3755) tensor(35266.3984)
ch, vs_mean, vl_pi, beta penalty= 0 64.5497817993164 tensor(1.3277) tensor(33831.5195)
ch, vs_mean, vl_pi, beta penalty= 0 64.99138641357422 tensor(1.3344) tensor(34033.3633)
ch, vs_mean, vl_pi, beta penalty= 0 65.0467758178711 tensor(1.2990) tensor(32971.1992)
ch, vs_mean, vl_pi, beta penalty= 0 70.31462860107422 tensor(1.2959) tensor(32875.5977)
ch, vs_mean, vl_pi, beta penalty= 0 70.69032287597656 tensor(1.3170) tensor(33509.5547)
ch, vs_mean, vl_pi, beta penalty= 0 70.17170715332031 tensor(1.2703) tensor(32110.4043)
ch, vs_mean, vl_pi, beta penalty= 0 69.65159606933594 tensor(1.2281) tensor(30841.7910)
ch, vs_mean, vl_pi, beta penalty= 0 70.02513122558594 tensor(1.2206) tensor(30619.3320)
ch, vs_mean, vl_pi, beta penalty= 0 67.01052856445312 tensor(2.5259) tensor(69777.9609)
ch, vs_mean, vl_pi, beta penalty= 0 67.08785247802734 tensor(2.5608) tensor(70825.3750)
ch, vs_mean, vl_pi, beta penalty= 0 66.50941467285156 tensor(2.5685) tensor(71056.0938)
ch, vs_mean, vl_pi, beta penalty= 0 65.69866180419922 tensor(2.5940) tensor(71820.2266)
ch, vs_mean, vl_pi, beta penalty= 0 66.06275939941406 tensor(2.5358) tensor(70074.8203)
ch, vs_mean, vl_pi, beta penalty= 0 67.6797866821289 tensor(1.9417) tensor(52251.4492)
ch, vs_mean, vl_pi, beta penalty= 0 68.79512023925781 tensor(1.9642) tensor(52926.2656)
ch, vs_mean, vl_pi, beta penalty= 0 68.88180541992188 tensor(1.9945) tensor(53834.0938)
ch, vs_mean, vl_pi, beta penalty= 0 68.20960998535156 tensor(2.0085) tensor(54254.4141)
ch, vs_mean, vl_pi, beta penalty= 0 68.74166870117188 tensor(2.0085) tensor(54253.8086)
ch, vs_mean, vl_pi, beta penalty= 0 68.16271209716797 tensor(1.4443) tensor(37329.0430)
ch, vs_mean, vl_pi, beta penalty= 0 70.06336975097656 tensor(1.4093) tensor(36279.8867)
ch, vs_mean, vl_pi, beta penalty= 0 70.55929565429688 tensor(1.3806) tensor(35417.9727)
ch, vs_mean, vl_pi, beta penalty= 0 71.4291763305664 tensor(1.3476) tensor(34428.8594)
ch, vs_mean, vl_pi, beta penalty= 0 71.91515350341797 tensor(1.3556) tensor(34668.0664)
ch, vs_mean, vl_pi, beta penalty= 0 76.02381134033203 tensor(1.5110) tensor(39331.1250)
ch, vs_mean, vl_pi, beta penalty= 0 76.82164001464844 tensor(1.5556) tensor(40668.1172)
ch, vs_mean, vl_pi, beta penalty= 0 77.55009460449219 tensor(1.5875) tensor(41626.0156)
ch, vs_mean, vl_pi, beta penalty= 0 77.11207580566406 tensor(1.6314) tensor(42941.8867)
ch, vs_mean, vl_pi, beta penalty= 0 76.34986877441406 tensor(1.6250) tensor(42750.5859)
ch, vs_mean, vl_pi, beta penalty= 0 82.9673843383789 tensor(0.7084) tensor(15253.2627)
ch, vs_mean, vl_pi, beta penalty= 0 83.03645324707031 tensor(0.6841) tensor(14522.8438)
ch, vs_mean, vl_pi, beta penalty= 0 82.15045166015625 tensor(0.6616) tensor(13848.1113)
ch, vs_mean, vl_pi, beta penalty= 0 81.66771697998047 tensor(0.6485) tensor(13453.9805)
ch, vs_mean, vl_pi, beta penalty= 0 81.90937042236328 tensor(0.6447) tensor(13340.5410)
ch, vs_mean, vl_pi, beta penalty= 0 82.75794219970703 tensor(2.6052) tensor(72157.3750)
ch, vs_mean, vl_pi, beta penalty= 0 82.03202819824219 tensor(2.5686) tensor(71058.8828)
ch, vs_mean, vl_pi, beta penalty= 0 82.03345489501953 tensor(2.5280) tensor(69839.2891)
ch, vs_mean, vl_pi, beta penalty= 0 81.46107482910156 tensor(2.5899) tensor(71697.2188)
ch, vs_mean, vl_pi, beta penalty= 0 81.10039520263672 tensor(2.6241) tensor(72723.8359)
ch, vs_mean, vl_pi, beta penalty= 0 83.07176971435547 tensor(2.8230) tensor(78688.6328)
ch, vs_mean, vl_pi, beta penalty= 0 81.12334442138672 tensor(2.7882) tensor(77645.8906)
ch, vs_mean, vl_pi, beta penalty= 0 80.33625030517578 tensor(2.7930) tensor(77791.3203)
ch, vs_mean, vl_pi, beta penalty= 0 79.3732681274414 tensor(2.8766) tensor(80297.4453)
ch, vs_mean, vl_pi, beta penalty= 0 79.01860809326172 tensor(2.8081) tensor(78244.4062)
