n0008
Sun Mar 29 03:18:18 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 1 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:3.6481188041446906 	 evaluate_max_cost:1.1946760078028644
ch, vs_mean, vl_pi, beta penalty= 1 91.57627868652344 18.275636672973633 448.6409168243409
ch, vs_mean, vl_pi, beta penalty= 1 91.77464294433594 21.656513214111328 533.1628303527832
ch, vs_mean, vl_pi, beta penalty= 1 91.5370101928711 28.51241683959961 704.5604209899902
ch, vs_mean, vl_pi, beta penalty= 1 91.79375457763672 23.688051223754883 583.9512805938721
ch, vs_mean, vl_pi, beta penalty= 1 92.36405181884766 21.053943634033203 518.0985908508301
ch, vs_mean, vl_pi, beta penalty= 1 92.503173828125 22.531076431274414 555.0269107818604
ch, vs_mean, vl_pi, beta penalty= 1 92.69046783447266 18.070680618286133 443.5170154571534
ch, vs_mean, vl_pi, beta penalty= 1 92.69625854492188 25.304540634155273 624.3635158538818
ch, vs_mean, vl_pi, beta penalty= 1 92.71883392333984 24.589094161987305 606.4773540496826
ch, vs_mean, vl_pi, beta penalty= 1 92.53173828125 25.056678771972656 618.1669692993164
ch, vs_mean, vl_pi, beta penalty= 1 92.5957260131836 21.490236282348633 529.0059070587158
ch, vs_mean, vl_pi, beta penalty= 1 92.69749450683594 20.120838165283203 494.77095413208013
ch, vs_mean, vl_pi, beta penalty= 1 92.70423889160156 17.34290313720703 425.32257843017584
ch, vs_mean, vl_pi, beta penalty= 1 92.72079467773438 20.937644958496094 515.1911239624023
ch, vs_mean, vl_pi, beta penalty= 1 92.73673248291016 24.130067825317383 595.0016956329346
ch, vs_mean, vl_pi, beta penalty= 1 92.62605285644531 23.94924545288086 590.4811363220215
ch, vs_mean, vl_pi, beta penalty= 1 91.44624328613281 26.01706314086914 642.1765785217285
ch, vs_mean, vl_pi, beta penalty= 1 91.558837890625 22.388465881347656 551.4616470336914
evaluate_num:8 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 90.52267456054688 31.70889663696289 784.4724159240723
ch, vs_mean, vl_pi, beta penalty= 1 87.063720703125 33.01847839355469 817.2119598388672
ch, vs_mean, vl_pi, beta penalty= 1 91.69720458984375 29.625808715820312 732.3952178955078
ch, vs_mean, vl_pi, beta penalty= 1 88.44039916992188 34.658931732177734 858.2232933044434
ch, vs_mean, vl_pi, beta penalty= 1 89.03285217285156 39.98850631713867 991.4626579284668
ch, vs_mean, vl_pi, beta penalty= 1 90.6194076538086 38.62467575073242 957.3668937683105
ch, vs_mean, vl_pi, beta penalty= 1 92.41295623779297 34.80411911010742 861.8529777526855
ch, vs_mean, vl_pi, beta penalty= 1 92.28453063964844 37.304622650146484 924.3655662536621
ch, vs_mean, vl_pi, beta penalty= 1 92.05067443847656 42.929283142089844 1064.982078552246
ch, vs_mean, vl_pi, beta penalty= 1 92.20925903320312 39.946434020996094 990.4108505249023
ch, vs_mean, vl_pi, beta penalty= 1 92.51580810546875 32.601192474365234 806.7798118591309
ch, vs_mean, vl_pi, beta penalty= 1 92.4584732055664 32.12960433959961 794.9901084899902
ch, vs_mean, vl_pi, beta penalty= 1 92.3441162109375 32.13633728027344 795.1584320068359
evaluate_num:9 	 evaluate_reward:220.66666666666666 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 92.31368255615234 25.920917510986328 639.7729377746582
ch, vs_mean, vl_pi, beta penalty= 1 92.21194458007812 31.457298278808594 778.1824569702148
ch, vs_mean, vl_pi, beta penalty= 1 92.27672576904297 25.354877471923828 625.6219367980957
ch, vs_mean, vl_pi, beta penalty= 1 92.39884948730469 23.941307067871094 590.2826766967773
ch, vs_mean, vl_pi, beta penalty= 1 92.12593078613281 25.851295471191406 638.0323867797852
ch, vs_mean, vl_pi, beta penalty= 1 92.2252426147461 30.517087936401367 754.6771984100342
ch, vs_mean, vl_pi, beta penalty= 1 92.10955810546875 30.07711410522461 743.6778526306152
ch, vs_mean, vl_pi, beta penalty= 1 92.12123107910156 35.535682678222656 880.1420669555664
ch, vs_mean, vl_pi, beta penalty= 1 91.99120330810547 35.77884292602539 886.2210731506348
ch, vs_mean, vl_pi, beta penalty= 1 91.88579559326172 38.18516159057617 946.3790397644043
ch, vs_mean, vl_pi, beta penalty= 1 92.04109191894531 28.06494140625 693.37353515625
evaluate_num:10 	 evaluate_reward:202.66666666666666 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 92.06171417236328 30.476442337036133 753.6610584259033
