2026-03-09 16:09:30,083 - INFO - Ep 38 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Beta: 1.3663 | Optimized: Reward
2026-03-09 16:09:30,108 - INFO - Ep 39 | Reward: 18.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 8.510 | Beta: 1.3762 | Optimized: Reward
2026-03-09 16:09:30,126 - INFO - Ep 40 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 1.3861 | Optimized: Reward
2026-03-09 16:09:30,139 - INFO - Ep 41 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.3960 | Optimized: Reward
2026-03-09 16:09:30,153 - INFO - Ep 42 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.4059 | Optimized: Reward
2026-03-09 16:09:30,173 - INFO - Ep 43 | Reward: 13.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.247 | Beta: 1.4158 | Optimized: Reward
2026-03-09 16:09:30,187 - INFO - Ep 44 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.4257 | Optimized: Reward
2026-03-09 16:09:30,198 - INFO - Ep 45 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 1.4356 | Optimized: Reward
2026-03-09 16:09:30,211 - INFO - Ep 46 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.4455 | Optimized: Reward
2026-03-09 16:09:30,227 - INFO - Ep 47 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.853 | Beta: 1.4554 | Optimized: Reward
2026-03-09 16:09:30,240 - INFO - Ep 48 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.4653 | Optimized: Reward
2026-03-09 16:09:30,252 - INFO - Ep 49 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.4752 | Optimized: Reward
2026-03-09 16:09:30,268 - INFO - Ep 50 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.853 | Beta: 1.4851 | Optimized: Reward
2026-03-09 16:09:30,893 - INFO - Ep 51 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.4950 | Optimized: Reward
2026-03-09 16:09:30,906 - INFO - Ep 52 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Beta: 1.5049 | Optimized: Reward
2026-03-09 16:09:30,924 - INFO - Ep 53 | Reward: 12.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.268 | Beta: 1.5148 | Optimized: Reward
2026-03-09 16:09:30,935 - INFO - Ep 54 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.960 | Beta: 1.5247 | Optimized: Reward
2026-03-09 16:09:30,960 - INFO - Ep 55 | Reward: 19.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 9.425 | Beta: 1.5346 | Optimized: Reward
2026-03-09 16:09:30,979 - INFO - Ep 56 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.338 | Beta: 1.5445 | Optimized: Reward
2026-03-09 16:09:30,996 - INFO - Ep 57 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.853 | Beta: 1.5544 | Optimized: Reward
2026-03-09 16:09:31,012 - INFO - Ep 58 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.5643 | Optimized: Reward
2026-03-09 16:09:31,030 - INFO - Ep 59 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.853 | Beta: 1.5742 | Optimized: Reward
2026-03-09 16:09:31,042 - INFO - Ep 60 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 1.5841 | Optimized: Reward
2026-03-09 16:09:31,054 - INFO - Ep 61 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Beta: 1.5940 | Optimized: Reward
2026-03-09 16:09:31,065 - INFO - Ep 62 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 1.6039 | Optimized: Reward
2026-03-09 16:09:31,085 - INFO - Ep 63 | Reward: 14.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.706 | Beta: 1.6138 | Optimized: Reward
2026-03-09 16:09:31,097 - INFO - Ep 64 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 1.980 | Beta: 1.6237 | Optimized: Reward
2026-03-09 16:09:31,113 - INFO - Ep 65 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.853 | Beta: 1.6336 | Optimized: Reward
2026-03-09 16:09:31,135 - INFO - Ep 66 | Reward: 14.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.706 | Beta: 1.6435 | Optimized: Reward
2026-03-09 16:09:31,155 - INFO - Ep 67 | Reward: 12.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.268 | Beta: 1.6534 | Optimized: Reward
2026-03-09 16:09:31,166 - INFO - Ep 68 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.960 | Beta: 1.6633 | Optimized: Reward
2026-03-09 16:09:31,177 - INFO - Ep 69 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.6732 | Optimized: Reward
2026-03-09 16:09:31,207 - INFO - Ep 70 | Reward: 22.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 10.267 | Beta: 1.6831 | Optimized: Reward
2026-03-09 16:09:31,225 - INFO - Ep 71 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.6930 | Optimized: Reward
2026-03-09 16:09:31,260 - INFO - Ep 72 | Reward: 27.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 12.859 | Beta: 1.7029 | Optimized: Reward
2026-03-09 16:09:31,276 - INFO - Ep 73 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Beta: 1.7128 | Optimized: Reward
2026-03-09 16:09:31,309 - INFO - Ep 74 | Reward: 24.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 11.129 | Beta: 1.7227 | Optimized: Reward
2026-03-09 16:09:31,323 - INFO - Ep 75 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 1.980 | Beta: 1.7326 | Optimized: Reward
2026-03-09 16:09:31,336 - INFO - Ep 76 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.7425 | Optimized: Reward
2026-03-09 16:09:31,349 - INFO - Ep 77 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Beta: 1.7524 | Optimized: Reward
2026-03-09 16:09:31,376 - INFO - Ep 78 | Reward: 20.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 9.864 | Beta: 1.7623 | Optimized: Reward
2026-03-09 16:09:31,389 - INFO - Ep 79 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.960 | Beta: 1.7722 | Optimized: Reward
2026-03-09 16:09:31,400 - INFO - Ep 80 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Beta: 1.7821 | Optimized: Reward
2026-03-09 16:09:31,421 - INFO - Ep 81 | Reward: 14.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.706 | Beta: 1.7920 | Optimized: Reward
2026-03-09 16:09:31,436 - INFO - Ep 82 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.8019 | Optimized: Reward
2026-03-09 16:09:31,449 - INFO - Ep 83 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Beta: 1.8118 | Optimized: Reward
2026-03-09 16:09:31,477 - INFO - Ep 84 | Reward: 20.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 9.864 | Beta: 1.8217 | Optimized: Reward
2026-03-09 16:09:31,491 - INFO - Ep 85 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Beta: 1.8316 | Optimized: Reward
2026-03-09 16:09:31,510 - INFO - Ep 86 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 1.8415 | Optimized: Reward
2026-03-09 16:09:31,521 - INFO - Ep 87 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.960 | Beta: 1.8514 | Optimized: Reward
2026-03-09 16:09:31,542 - INFO - Ep 88 | Reward: 14.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.706 | Beta: 1.8613 | Optimized: Reward
2026-03-09 16:09:31,558 - INFO - Ep 89 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.8712 | Optimized: Reward
2026-03-09 16:09:31,573 - INFO - Ep 90 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.8811 | Optimized: Reward
2026-03-09 16:09:31,587 - INFO - Ep 91 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.8910 | Optimized: Reward
2026-03-09 16:09:31,603 - INFO - Ep 92 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 1.9009 | Optimized: Reward
2026-03-09 16:09:31,622 - INFO - Ep 93 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.321 | Beta: 1.9108 | Optimized: Reward
2026-03-09 16:09:31,636 - INFO - Ep 94 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Beta: 1.9207 | Optimized: Reward
2026-03-09 16:09:31,655 - INFO - Ep 95 | Reward: 12.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.785 | Beta: 1.9306 | Optimized: Reward
2026-03-09 16:09:31,673 - INFO - Ep 96 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.853 | Beta: 1.9405 | Optimized: Reward
2026-03-09 16:09:31,686 - INFO - Ep 97 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.9504 | Optimized: Reward
2026-03-09 16:09:31,709 - INFO - Ep 98 | Reward: 16.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 7.614 | Beta: 1.9603 | Optimized: Reward
2026-03-09 16:09:31,741 - INFO - Ep 99 | Reward: 21.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 9.832 | Beta: 1.9702 | Optimized: Reward
2026-03-09 16:09:31,767 - INFO - Ep 100 | Reward: 16.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 8.089 | Beta: 1.9801 | Optimized: Reward
2026-03-09 16:09:32,234 - INFO - Ep 101 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.921 | Beta: 1.9900 | Optimized: Reward
2026-03-09 16:09:32,257 - INFO - Ep 102 | Reward: 15.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 7.161 | Beta: 1.9999 | Optimized: Reward
2026-03-09 16:09:32,272 - INFO - Ep 103 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 2.0098 | Optimized: Reward
2026-03-09 16:09:32,288 - INFO - Ep 104 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 2.0197 | Optimized: Reward
2026-03-09 16:09:32,304 - INFO - Ep 105 | Reward: 10.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.338 | Beta: 2.0296 | Optimized: Reward
2026-03-09 16:09:32,325 - INFO - Ep 106 | Reward: 14.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 6.706 | Beta: 2.0395 | Optimized: Reward
2026-03-09 16:09:32,343 - INFO - Ep 107 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 2.0494 | Optimized: Reward
2026-03-09 16:09:32,355 - INFO - Ep 108 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 2.0593 | Optimized: Reward
2026-03-09 16:09:32,368 - INFO - Ep 109 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Beta: 2.0692 | Optimized: Reward
