n0050
Thu Aug 27 11:09:20 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 6 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.883397093632172 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.883397093632172 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 75.2274169921875 tensor(6.0526) tensor(175577.6562)
ch, vs_mean, vl_pi, beta penalty= 0 74.96111297607422 tensor(5.9185) tensor(171553.9219)
ch, vs_mean, vl_pi, beta penalty= 0 74.32066345214844 tensor(5.8417) tensor(169252.3594)
ch, vs_mean, vl_pi, beta penalty= 0 74.07939910888672 tensor(5.7467) tensor(166401.1250)
ch, vs_mean, vl_pi, beta penalty= 0 75.03617858886719 tensor(1.8971) tensor(50914.1094)
ch, vs_mean, vl_pi, beta penalty= 0 75.71044158935547 tensor(1.8960) tensor(50878.9375)
ch, vs_mean, vl_pi, beta penalty= 0 76.22573852539062 tensor(1.9217) tensor(51650.9727)
ch, vs_mean, vl_pi, beta penalty= 0 76.78572082519531 tensor(1.9472) tensor(52414.7852)
ch, vs_mean, vl_pi, beta penalty= 0 76.88339233398438 tensor(1.9219) tensor(51657.8086)
ch, vs_mean, vl_pi, beta penalty= 0 76.71409606933594 tensor(3.9868) tensor(113604.8750)
ch, vs_mean, vl_pi, beta penalty= 0 75.4349365234375 tensor(3.9033) tensor(111097.6406)
ch, vs_mean, vl_pi, beta penalty= 0 73.59339904785156 tensor(3.7643) tensor(106928.3672)
ch, vs_mean, vl_pi, beta penalty= 0 72.51632690429688 tensor(3.7340) tensor(106021.3438)
ch, vs_mean, vl_pi, beta penalty= 0 71.30003356933594 tensor(3.7321) tensor(105964.0938)
ch, vs_mean, vl_pi, beta penalty= 0 69.45313262939453 tensor(2.9056) tensor(81167.0859)
ch, vs_mean, vl_pi, beta penalty= 0 69.24931335449219 tensor(2.8536) tensor(79608.9922)
ch, vs_mean, vl_pi, beta penalty= 0 69.38362121582031 tensor(2.9343) tensor(82028.6953)
ch, vs_mean, vl_pi, beta penalty= 0 69.49465942382812 tensor(2.8143) tensor(78429.6172)
ch, vs_mean, vl_pi, beta penalty= 0 69.57699584960938 tensor(2.8098) tensor(78292.7422)
ch, vs_mean, vl_pi, beta penalty= 0 70.86875915527344 tensor(3.4719) tensor(98155.6562)
ch, vs_mean, vl_pi, beta penalty= 0 70.94842529296875 tensor(3.3547) tensor(94640.3750)
ch, vs_mean, vl_pi, beta penalty= 0 71.11672973632812 tensor(3.3310) tensor(93931.0859)
ch, vs_mean, vl_pi, beta penalty= 0 71.10087585449219 tensor(3.3040) tensor(93119.3828)
ch, vs_mean, vl_pi, beta penalty= 0 71.10350036621094 tensor(3.2454) tensor(91360.5859)
ch, vs_mean, vl_pi, beta penalty= 0 76.01606750488281 tensor(3.2712) tensor(92136.1719)
ch, vs_mean, vl_pi, beta penalty= 0 76.14877319335938 tensor(3.2603) tensor(91808.8125)
ch, vs_mean, vl_pi, beta penalty= 0 76.63716125488281 tensor(3.1422) tensor(88265.1562)
ch, vs_mean, vl_pi, beta penalty= 0 76.83631896972656 tensor(3.1484) tensor(88451.9531)
ch, vs_mean, vl_pi, beta penalty= 0 77.02124786376953 tensor(3.1022) tensor(87065.3750)
ch, vs_mean, vl_pi, beta penalty= 0 76.90277099609375 tensor(4.1022) tensor(117066.5312)
ch, vs_mean, vl_pi, beta penalty= 0 74.89974975585938 tensor(4.0537) tensor(115610.4531)
ch, vs_mean, vl_pi, beta penalty= 0 73.49961853027344 tensor(4.0122) tensor(114367.1250)
ch, vs_mean, vl_pi, beta penalty= 0 72.65950012207031 tensor(3.9904) tensor(113712.1406)
ch, vs_mean, vl_pi, beta penalty= 0 71.43196868896484 tensor(4.0118) tensor(114354.3203)
ch, vs_mean, vl_pi, beta penalty= 0 72.32219696044922 tensor(3.0941) tensor(86823.4375)
ch, vs_mean, vl_pi, beta penalty= 0 72.4709701538086 tensor(3.1410) tensor(88229.3984)
ch, vs_mean, vl_pi, beta penalty= 0 73.3768081665039 tensor(3.2516) tensor(91546.7578)
ch, vs_mean, vl_pi, beta penalty= 0 73.40838623046875 tensor(3.3325) tensor(93974.5781)
ch, vs_mean, vl_pi, beta penalty= 0 73.82154846191406 tensor(3.3804) tensor(95412.2656)
ch, vs_mean, vl_pi, beta penalty= 0 73.39036560058594 tensor(3.7392) tensor(106176.0625)
ch, vs_mean, vl_pi, beta penalty= 0 75.11175537109375 tensor(3.7830) tensor(107490.0703)
ch, vs_mean, vl_pi, beta penalty= 0 75.81340026855469 tensor(3.7231) tensor(105692.7656)
ch, vs_mean, vl_pi, beta penalty= 0 76.41984558105469 tensor(3.6539) tensor(103616.8203)
ch, vs_mean, vl_pi, beta penalty= 0 77.07110595703125 tensor(3.5563) tensor(100690.4219)
ch, vs_mean, vl_pi, beta penalty= 0 79.98519897460938 tensor(1.6562) tensor(43686.1055)
ch, vs_mean, vl_pi, beta penalty= 0 79.72953796386719 tensor(1.6109) tensor(42326.1406)
ch, vs_mean, vl_pi, beta penalty= 0 78.89393615722656 tensor(1.5935) tensor(41805.1016)
ch, vs_mean, vl_pi, beta penalty= 0 77.85102844238281 tensor(1.5736) tensor(41208.2969)
ch, vs_mean, vl_pi, beta penalty= 0 78.1795654296875 tensor(1.5526) tensor(40577.6875)
ch, vs_mean, vl_pi, beta penalty= 0 80.07757568359375 tensor(2.2609) tensor(61827.1992)
ch, vs_mean, vl_pi, beta penalty= 0 80.92993927001953 tensor(2.2591) tensor(61774.2773)
ch, vs_mean, vl_pi, beta penalty= 0 81.71578216552734 tensor(2.2339) tensor(61016.7227)
ch, vs_mean, vl_pi, beta penalty= 0 81.58672332763672 tensor(2.2466) tensor(61397.4531)
ch, vs_mean, vl_pi, beta penalty= 0 82.01992797851562 tensor(2.2136) tensor(60408.7344)
ch, vs_mean, vl_pi, beta penalty= 0 82.33843231201172 tensor(2.3352) tensor(64054.5469)
ch, vs_mean, vl_pi, beta penalty= 0 82.48906707763672 tensor(2.3814) tensor(65440.5000)
ch, vs_mean, vl_pi, beta penalty= 0 81.59526062011719 tensor(2.3377) tensor(64130.4883)
ch, vs_mean, vl_pi, beta penalty= 0 81.35748291015625 tensor(2.3248) tensor(63744.8125)
ch, vs_mean, vl_pi, beta penalty= 0 81.85835266113281 tensor(2.3099) tensor(63295.9766)
ch, vs_mean, vl_pi, beta penalty= 0 77.7588119506836 tensor(5.1197) tensor(147592.2500)
ch, vs_mean, vl_pi, beta penalty= 0 78.75712585449219 tensor(4.9419) tensor(142255.7812)
ch, vs_mean, vl_pi, beta penalty= 0 79.45610046386719 tensor(4.9752) tensor(143256.5625)
ch, vs_mean, vl_pi, beta penalty= 0 80.26766204833984 tensor(4.9624) tensor(142872.7812)
ch, vs_mean, vl_pi, beta penalty= 0 80.47416687011719 tensor(4.8786) tensor(140357.4531)
ch, vs_mean, vl_pi, beta penalty= 0 89.91947174072266 tensor(1.0768) tensor(26303.5176)
ch, vs_mean, vl_pi, beta penalty= 0 88.18492126464844 tensor(1.0685) tensor(26054.5547)
ch, vs_mean, vl_pi, beta penalty= 0 87.19873809814453 tensor(1.0624) tensor(25871.6953)
ch, vs_mean, vl_pi, beta penalty= 0 87.21417236328125 tensor(1.0279) tensor(24836.8574)
ch, vs_mean, vl_pi, beta penalty= 0 86.24536895751953 tensor(0.9984) tensor(23950.6875)
ch, vs_mean, vl_pi, beta penalty= 0 83.15769958496094 tensor(2.6103) tensor(72307.6641)
ch, vs_mean, vl_pi, beta penalty= 0 83.49836730957031 tensor(2.6197) tensor(72592.2422)
ch, vs_mean, vl_pi, beta penalty= 0 83.63824462890625 tensor(2.6814) tensor(74442.6250)
ch, vs_mean, vl_pi, beta penalty= 0 83.66921997070312 tensor(2.6881) tensor(74643.7578)
ch, vs_mean, vl_pi, beta penalty= 0 83.39845275878906 tensor(2.7288) tensor(75863.8672)
ch, vs_mean, vl_pi, beta penalty= 0 84.49740600585938 tensor(2.6240) tensor(72719.5703)
