n0006
Sat Sep 19 04:45:51 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 1 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:9.715869188129492 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 9.715869188129492 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=156.2890, vl_pi= 0.6233655 beta_penalty= 15700.965 lambda_mean= [0.69421804] VC_mean= [0.54802704] d= [0.1]
FAC | warm_start_active=False, vs_mean=164.4577, vl_pi= 0.6216738 beta_penalty= 15650.214 lambda_mean= [0.6941607] VC_mean= [0.54344094] d= [0.1]
FAC | warm_start_active=False, vs_mean=165.6938, vl_pi= 0.60793066 beta_penalty= 15237.919 lambda_mean= [0.6941607] VC_mean= [0.5377553] d= [0.1]
FAC | warm_start_active=False, vs_mean=168.8885, vl_pi= 0.6063717 beta_penalty= 15191.15 lambda_mean= [0.6941607] VC_mean= [0.54110014] d= [0.1]
FAC | warm_start_active=False, vs_mean=170.0297, vl_pi= 0.6100868 beta_penalty= 15302.604 lambda_mean= [0.6941607] VC_mean= [0.5447781] d= [0.1]
FAC | warm_start_active=False, vs_mean=171.4290, vl_pi= 0.59945333 beta_penalty= 14983.6 lambda_mean= [0.6941607] VC_mean= [0.5399852] d= [0.1]
FAC | warm_start_active=False, vs_mean=176.0090, vl_pi= 0.6071965 beta_penalty= 15215.895 lambda_mean= [0.69407254] VC_mean= [0.5375605] d= [0.1]
FAC | warm_start_active=False, vs_mean=176.3281, vl_pi= 0.6015358 beta_penalty= 15046.073 lambda_mean= [0.69407254] VC_mean= [0.5372599] d= [0.1]
FAC | warm_start_active=False, vs_mean=176.2577, vl_pi= 0.60107017 beta_penalty= 15032.1045 lambda_mean= [0.69407254] VC_mean= [0.53922117] d= [0.1]
FAC | warm_start_active=False, vs_mean=177.2981, vl_pi= 0.59702146 beta_penalty= 14910.644 lambda_mean= [0.69407254] VC_mean= [0.53707093] d= [0.1]
FAC | warm_start_active=False, vs_mean=177.3830, vl_pi= 0.5991666 beta_penalty= 14974.997 lambda_mean= [0.69407254] VC_mean= [0.5355064] d= [0.1]
FAC | warm_start_active=False, vs_mean=159.9796, vl_pi= 0.62571645 beta_penalty= 15771.493 lambda_mean= [0.69402677] VC_mean= [0.5342927] d= [0.1]
FAC | warm_start_active=False, vs_mean=159.6566, vl_pi= 0.6137153 beta_penalty= 15411.458 lambda_mean= [0.69402677] VC_mean= [0.5344026] d= [0.1]
FAC | warm_start_active=False, vs_mean=159.0637, vl_pi= 0.60661703 beta_penalty= 15198.511 lambda_mean= [0.69402677] VC_mean= [0.53940964] d= [0.1]
FAC | warm_start_active=False, vs_mean=158.1228, vl_pi= 0.60982513 beta_penalty= 15294.753 lambda_mean= [0.69402677] VC_mean= [0.54039484] d= [0.1]
FAC | warm_start_active=False, vs_mean=158.2026, vl_pi= 0.6117213 beta_penalty= 15351.638 lambda_mean= [0.69402677] VC_mean= [0.54488856] d= [0.1]
FAC | warm_start_active=False, vs_mean=167.4482, vl_pi= 0.61940235 beta_penalty= 15582.069 lambda_mean= [0.69410706] VC_mean= [0.543032] d= [0.1]
FAC | warm_start_active=False, vs_mean=169.1018, vl_pi= 0.6243901 beta_penalty= 15731.703 lambda_mean= [0.69410706] VC_mean= [0.5466073] d= [0.1]
FAC | warm_start_active=False, vs_mean=170.4022, vl_pi= 0.6446401 beta_penalty= 16339.202 lambda_mean= [0.69410706] VC_mean= [0.54561305] d= [0.1]
FAC | warm_start_active=False, vs_mean=171.2961, vl_pi= 0.6367665 beta_penalty= 16102.994 lambda_mean= [0.69410706] VC_mean= [0.5434455] d= [0.1]
FAC | warm_start_active=False, vs_mean=170.8268, vl_pi= 0.63218856 beta_penalty= 15965.656 lambda_mean= [0.69410706] VC_mean= [0.54472363] d= [0.1]
FAC | warm_start_active=False, vs_mean=169.7504, vl_pi= 0.60054564 beta_penalty= 15016.368 lambda_mean= [0.69410545] VC_mean= [0.5414591] d= [0.1]
FAC | warm_start_active=False, vs_mean=171.7983, vl_pi= 0.60519886 beta_penalty= 15155.965 lambda_mean= [0.69410545] VC_mean= [0.5399354] d= [0.1]
FAC | warm_start_active=False, vs_mean=172.8188, vl_pi= 0.6030837 beta_penalty= 15092.511 lambda_mean= [0.69410545] VC_mean= [0.53769445] d= [0.1]
FAC | warm_start_active=False, vs_mean=173.6458, vl_pi= 0.60976106 beta_penalty= 15292.831 lambda_mean= [0.69410545] VC_mean= [0.5376403] d= [0.1]
FAC | warm_start_active=False, vs_mean=175.9480, vl_pi= 0.61503035 beta_penalty= 15450.91 lambda_mean= [0.69410545] VC_mean= [0.5405061] d= [0.1]
FAC | warm_start_active=False, vs_mean=186.2733, vl_pi= 0.618288 beta_penalty= 15548.639 lambda_mean= [0.69413996] VC_mean= [0.5538063] d= [0.1]
FAC | warm_start_active=False, vs_mean=184.6472, vl_pi= 0.6185317 beta_penalty= 15555.95 lambda_mean= [0.69413996] VC_mean= [0.552953] d= [0.1]
FAC | warm_start_active=False, vs_mean=184.0109, vl_pi= 0.6154842 beta_penalty= 15464.524 lambda_mean= [0.69413996] VC_mean= [0.55115217] d= [0.1]
FAC | warm_start_active=False, vs_mean=182.8002, vl_pi= 0.6196791 beta_penalty= 15590.372 lambda_mean= [0.69413996] VC_mean= [0.5565881] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.9081, vl_pi= 0.618636 beta_penalty= 15559.08 lambda_mean= [0.69413996] VC_mean= [0.55443865] d= [0.1]
FAC | warm_start_active=False, vs_mean=187.5502, vl_pi= 0.6382297 beta_penalty= 16146.892 lambda_mean= [0.69416547] VC_mean= [0.5557812] d= [0.1]
FAC | warm_start_active=False, vs_mean=186.7433, vl_pi= 0.65017694 beta_penalty= 16505.307 lambda_mean= [0.69416547] VC_mean= [0.5571919] d= [0.1]
