n0006
Sat Sep 19 04:38:20 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:402.39193093042604 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 402.39193093042604 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=208.4548, vl_pi= 0.66908056 beta_penalty= 17072.416 lambda_mean= [0.6925107] VC_mean= [0.5627409] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.8034, vl_pi= 0.6530471 beta_penalty= 16591.412 lambda_mean= [0.6925107] VC_mean= [0.56275856] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.4396, vl_pi= 0.6544734 beta_penalty= 16634.201 lambda_mean= [0.6925107] VC_mean= [0.5609946] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.3517, vl_pi= 0.6497003 beta_penalty= 16491.008 lambda_mean= [0.6925107] VC_mean= [0.55549294] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.7075, vl_pi= 0.7391577 beta_penalty= 19174.73 lambda_mean= [0.69252175] VC_mean= [0.5641028] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.9198, vl_pi= 0.73624265 beta_penalty= 19087.28 lambda_mean= [0.69252175] VC_mean= [0.54995936] d= [0.1]
FAC | warm_start_active=False, vs_mean=215.8444, vl_pi= 0.74452925 beta_penalty= 19335.877 lambda_mean= [0.69252175] VC_mean= [0.5503375] d= [0.1]
FAC | warm_start_active=False, vs_mean=213.1361, vl_pi= 0.7344825 beta_penalty= 19034.475 lambda_mean= [0.69252175] VC_mean= [0.5537119] d= [0.1]
FAC | warm_start_active=False, vs_mean=214.4497, vl_pi= 0.7356574 beta_penalty= 19069.72 lambda_mean= [0.69252175] VC_mean= [0.5496924] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.4874, vl_pi= 0.6321729 beta_penalty= 15965.186 lambda_mean= [0.6925431] VC_mean= [0.53934324] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.7186, vl_pi= 0.62661475 beta_penalty= 15798.441 lambda_mean= [0.6925431] VC_mean= [0.53774494] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.1080, vl_pi= 0.61816543 beta_penalty= 15544.962 lambda_mean= [0.6925431] VC_mean= [0.53246576] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.0722, vl_pi= 0.6178902 beta_penalty= 15536.705 lambda_mean= [0.6925431] VC_mean= [0.5339892] d= [0.1]
FAC | warm_start_active=False, vs_mean=195.9783, vl_pi= 0.61233526 beta_penalty= 15370.058 lambda_mean= [0.6925431] VC_mean= [0.5276432] d= [0.1]
FAC | warm_start_active=False, vs_mean=203.8575, vl_pi= 0.5886148 beta_penalty= 14658.444 lambda_mean= [0.69266516] VC_mean= [0.5210834] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.0836, vl_pi= 0.5796498 beta_penalty= 14389.494 lambda_mean= [0.69266516] VC_mean= [0.5210043] d= [0.1]
FAC | warm_start_active=False, vs_mean=199.3263, vl_pi= 0.58455896 beta_penalty= 14536.77 lambda_mean= [0.69266516] VC_mean= [0.5210317] d= [0.1]
FAC | warm_start_active=False, vs_mean=195.0725, vl_pi= 0.58872867 beta_penalty= 14661.86 lambda_mean= [0.69266516] VC_mean= [0.5232991] d= [0.1]
FAC | warm_start_active=False, vs_mean=193.8094, vl_pi= 0.58839184 beta_penalty= 14651.756 lambda_mean= [0.69266516] VC_mean= [0.52114105] d= [0.1]
FAC | warm_start_active=False, vs_mean=195.8688, vl_pi= 0.6372062 beta_penalty= 16116.186 lambda_mean= [0.69261616] VC_mean= [0.5290108] d= [0.1]
FAC | warm_start_active=False, vs_mean=196.6142, vl_pi= 0.6227588 beta_penalty= 15682.764 lambda_mean= [0.69261616] VC_mean= [0.5278076] d= [0.1]
FAC | warm_start_active=False, vs_mean=198.2442, vl_pi= 0.61361635 beta_penalty= 15408.489 lambda_mean= [0.69261616] VC_mean= [0.52950704] d= [0.1]
FAC | warm_start_active=False, vs_mean=203.4074, vl_pi= 0.60868657 beta_penalty= 15260.597 lambda_mean= [0.69261616] VC_mean= [0.53295624] d= [0.1]
FAC | warm_start_active=False, vs_mean=199.9144, vl_pi= 0.60537595 beta_penalty= 15161.277 lambda_mean= [0.69261616] VC_mean= [0.5340438] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.6036, vl_pi= 0.5823563 beta_penalty= 14470.688 lambda_mean= [0.692662] VC_mean= [0.5289871] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.7238, vl_pi= 0.58367556 beta_penalty= 14510.267 lambda_mean= [0.692662] VC_mean= [0.5313743] d= [0.1]
FAC | warm_start_active=False, vs_mean=185.7513, vl_pi= 0.5862635 beta_penalty= 14587.904 lambda_mean= [0.692662] VC_mean= [0.5317606] d= [0.1]
FAC | warm_start_active=False, vs_mean=190.4988, vl_pi= 0.5825574 beta_penalty= 14476.722 lambda_mean= [0.692662] VC_mean= [0.5260857] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.9781, vl_pi= 0.58286566 beta_penalty= 14485.97 lambda_mean= [0.692662] VC_mean= [0.5292745] d= [0.1]
FAC | warm_start_active=False, vs_mean=211.1003, vl_pi= 0.6243901 beta_penalty= 15731.703 lambda_mean= [0.6925492] VC_mean= [0.5377048] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.7650, vl_pi= 0.62095153 beta_penalty= 15628.545 lambda_mean= [0.6925492] VC_mean= [0.5347392] d= [0.1]
FAC | warm_start_active=False, vs_mean=212.8316, vl_pi= 0.61252564 beta_penalty= 15375.769 lambda_mean= [0.6925492] VC_mean= [0.53249884] d= [0.1]
FAC | warm_start_active=False, vs_mean=209.0469, vl_pi= 0.60414135 beta_penalty= 15124.24 lambda_mean= [0.6925492] VC_mean= [0.5311604] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.4296, vl_pi= 0.59882873 beta_penalty= 14964.862 lambda_mean= [0.6925492] VC_mean= [0.53370386] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.9306, vl_pi= 0.60687625 beta_penalty= 15206.287 lambda_mean= [0.6925477] VC_mean= [0.5325982] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.0050, vl_pi= 0.6022464 beta_penalty= 15067.392 lambda_mean= [0.6925477] VC_mean= [0.5305977] d= [0.1]
FAC | warm_start_active=False, vs_mean=202.3122, vl_pi= 0.6008526 beta_penalty= 15025.577 lambda_mean= [0.6925477] VC_mean= [0.5296533] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.6268, vl_pi= 0.5948414 beta_penalty= 14845.243 lambda_mean= [0.6925477] VC_mean= [0.5277641] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.1685, vl_pi= 0.5973853 beta_penalty= 14921.559 lambda_mean= [0.6925477] VC_mean= [0.53028524] d= [0.1]
evaluate_num:2 	 evaluate_reward:1143.7732207310883 	 evaluate_cost:184.9488011598587 	 evaluate_max_cost:0.5
FAC | warm_start_active=False, vs_mean=206.8053, vl_pi= 0.63792735 beta_penalty= 16137.82 lambda_mean= [0.6926386] VC_mean= [0.52967757] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.3218, vl_pi= 0.63337857 beta_penalty= 16001.356 lambda_mean= [0.6926386] VC_mean= [0.5314227] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.4308, vl_pi= 0.62572044 beta_penalty= 15771.612 lambda_mean= [0.6926386] VC_mean= [0.52954876] d= [0.1]
FAC | warm_start_active=False, vs_mean=203.0157, vl_pi= 0.627294 beta_penalty= 15818.819 lambda_mean= [0.6926386] VC_mean= [0.5303316] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.4704, vl_pi= 0.626816 beta_penalty= 15804.479 lambda_mean= [0.6926386] VC_mean= [0.53244567] d= [0.1]
FAC | warm_start_active=False, vs_mean=195.2822, vl_pi= 0.58032846 beta_penalty= 14409.8545 lambda_mean= [0.69265234] VC_mean= [0.52788436] d= [0.1]
FAC | warm_start_active=False, vs_mean=192.5451, vl_pi= 0.58258206 beta_penalty= 14477.462 lambda_mean= [0.69265234] VC_mean= [0.5293674] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.3614, vl_pi= 0.58129865 beta_penalty= 14438.96 lambda_mean= [0.69265234] VC_mean= [0.5312613] d= [0.1]
FAC | warm_start_active=False, vs_mean=194.8373, vl_pi= 0.579401 beta_penalty= 14382.03 lambda_mean= [0.69265234] VC_mean= [0.5340629] d= [0.1]
FAC | warm_start_active=False, vs_mean=195.2643, vl_pi= 0.5766909 beta_penalty= 14300.728 lambda_mean= [0.69265234] VC_mean= [0.5302861] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.3148, vl_pi= 0.64062023 beta_penalty= 16218.606 lambda_mean= [0.69253296] VC_mean= [0.5409505] d= [0.1]
FAC | warm_start_active=False, vs_mean=213.1047, vl_pi= 0.6360814 beta_penalty= 16082.441 lambda_mean= [0.69253296] VC_mean= [0.53905416] d= [0.1]
FAC | warm_start_active=False, vs_mean=212.8199, vl_pi= 0.6308068 beta_penalty= 15924.203 lambda_mean= [0.69253296] VC_mean= [0.5313438] d= [0.1]
